source_family,family_class,role_rows,cluster_rows,eligible_rows,eligible_cluster_rows,scope_candidate_but_blocked_clusters,packet_parentage_review_clusters,strong_high_clusters,primary_blocker,dominant_scope_reason,dominant_relation_blocker,dominant_role,dominant_readiness,tuning_status,tuning_signal,required_evidence,risk_controls,next_action
Internet Archive,library_archive_or_aggregator,50,28,13,3,3,1,3,missing_member_or_sub,macro_or_unresolved_region,weak_design_object_signal,packet_member_review,method_review_only,tiny_seed_after_manual_resolution,scan_or_publication_host_signal,"publication title, archive item id, page/volume relation, source-side metadata, and object-level design relevance",Do not let hosting source alone define a packet; avoid global/transnational packeting without region resolution.,"review blocked eligible clusters, then rerun strict-ready audit on this family only"
Te Papa,museum_or_collection_api,35,10,1,1,1,0,3,missing_member_or_sub,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,tiny_seed_after_manual_resolution,collection_api_object_signal,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit.,"review blocked eligible clusters, then rerun strict-ready audit on this family only"
Library of Congress,library_archive_or_aggregator,22,12,4,1,1,0,1,missing_anchor,macro_or_unresolved_region,weak_design_object_signal,packet_member_review,method_review_only,tiny_seed_after_manual_resolution,library_archive_series_signal,"collection/series id, bibliographic hierarchy, source-side relation text, date/place, and object type",Do not infer packet parentage from library platform alone.,"review blocked eligible clusters, then rerun strict-ready audit on this family only"
Another Graphic,design_or_cultural_institution,11,7,7,1,1,1,0,lane_not_strong,macro_or_unresolved_region,low_cluster_confidence,packet_member_review,eligible_for_next_sandbox_review,tiny_seed_after_manual_resolution,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.","review blocked eligible clusters, then rerun strict-ready audit on this family only"
Gallica / BnF APIs,library_archive_or_aggregator,95,29,0,0,0,4,1,no_eligible_rows,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,define_parentage_signal,bibliographic_sequence_signal,"title stem, BnF/Gallica record type, view/page count, date evidence, and shared bibliographic collection context",Do not treat Gallica volume/page adjacency as design-object parentage without source text and non-macro region evidence.,write a source-family parentage signal and test as audit-only scoring
Georgia State CONTENTdm,library_archive_or_aggregator,63,48,0,0,0,1,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,define_parentage_signal,collection_record_series_signal,"CONTENTdm collection name, object type, place/date metadata, and repeated source collection identifiers",Do not collapse same-platform records into packets unless collection/series membership is explicit.,write a source-family parentage signal and test as audit-only scoring
DigitalNZ,library_archive_or_aggregator,30,25,0,0,0,2,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,low_cluster_confidence,packet_member_review,method_review_only,define_parentage_signal,collection_api_object_signal,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit.,write a source-family parentage signal and test as audit-only scoring
NAIDOC Poster Gallery,design_or_cultural_institution,27,20,0,0,0,2,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,define_parentage_signal,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",write a source-family parentage signal and test as audit-only scoring
Malaysia Design Archive,design_or_cultural_institution,9,2,0,0,0,1,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,weak_design_object_signal,packet_member_review,method_review_only,define_parentage_signal,editorial_project_or_event_signal,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence.",write a source-family parentage signal and test as audit-only scoring
Wellcome Collection,museum_or_collection_api,32,38,0,0,0,0,0,lane_not_strong,cluster_lane_not_strong_packet_candidate,low_cluster_confidence,packet_member_review,method_review_only,improve_design_object_and_cluster_confidence,collection_api_object_signal,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit.,separate design-object evidence from host/source-register evidence before packeting
