plan_id,phase,track,priority,region_focus,country_or_cluster_focus,target_success_count,source_strategy,rights_preference,text_requirement,cleaning_dependency,validation_gate,rationale
NEXT-CAP-001,cleaning_first,region_geo_safe_apply,P0,Cross-region,8 hardened direct-conflict candidates,8 reviewed patch candidates,spot-check by label and source family before any mapping application,no rights change,preserve current source text; no synthetic editorial text,data/region_geo_cleaning_action_plan_v1.csv,sample audit clean; no historical-dispute flag; high-signal metadata contains target geography,Turn the safest normalization rows into a controlled patch queue without rewriting public data yet.
NEXT-CAP-002,cleaning_first,historical_split_policy,P0,Latin America / North America,Mexico; United States military occupation context,220 reviewed decisions,"review Matamoros 1846 records as historical-context labels, not simple Mexico vs United States relabels",no rights change,record concise policy note for date-sensitive context,data/region_geo_requires_historical_split_review_v1.csv,taxonomy supports split/context label or keeps existing label with historical note,This cluster dominates the historical split queue and can distort region statistics if flattened.
NEXT-CAP-003,cleaning_first,rights_repair_before_volume,P0,Cross-region,Cooper Hewitt; Wellcome; Library of Congress; GSU CONTENTdm; AIC; Internet Archive; V&A; Te Papa,repair 800-1200 candidate objects or at least 223.40 weighted-publication points,item-level rights/source-evidence review over existing IMG02/IMG01/IMG00/IMG04 queues before adding more low-quality volume,only promote IMG03 when item-level open evidence is explicit; never from heuristic/platform/TOS/LLM signals,retain source notes and citation evidence for every repair decision,data/image_rights_repair_candidates_v1.csv,object verified-open >= 95%; object weighted publication-grade >= 95%; no automatic upgrades,Rights repair is the fastest route to the 95% image gates. Current top weighted gaps: Cooper Hewitt Collection GraphQL API (61.65 pts); Wellcome Collection Catalogue API (39.45 pts); Library of Congress loc.gov API (38.90 pts); Georgia State University Library Digital Collections / CONTENTdm (38.25 pts); Art Institute of Chicago API (36.00 pts); Internet Archive / text and periodical collections (33.75 pts); V&A Collections API (30.25 pts); Te Papa Collections Online (25.75 pts).
NEXT-CAP-004,capture_tranche_a,source_pool_5000_after_cleaning,P0,Global with non-mainstream weighting,"first 5,000 new active public-payload-ready sources","5,000 successful active sources after item/image capture, surface build, and metrics","combine authority APIs, art schools, community archives, design platforms, studios, national collections, and controlled Commons open-source pages",IMG03/IMG02 first; reject image mirrors and unsupported source pages,every main-sheet candidate should have source-derived text; avoid adding IMG04-only records as filler,run region/geography hardening and rights repair queues before full incorporation,minimum source gap now 3658; full 20k gap now 7658; count success only after rebuild and release snapshot,This tranche should push the project past the 80% public source floor while preserving rights and attribution quality.
NEXT-CAP-005,capture_tranche_a,authority_institution_sources,P1,Global / authority sources,"art schools, national libraries, design museums, university special collections, cultural institutes","1,400-1,700 successful active sources","prefer APIs/RSS/OAI/IIIF/search endpoints with item metadata, source URL, rights text, and description fields",verified open where explicit; IMG02 source-hosted evidence acceptable pending item-level review,catalogue description or institutional context required for research-packet value,deduplicate against current source names and source URLs before capture,source-visible >= 99%; source authority flags reviewed; no duplicated institution mirrors,"Authority sources are the best way to grow toward 20,000 without introducing fabricated or weak records."
NEXT-CAP-006,capture_tranche_a,contemporary_studio_platform_school_sources,P1,2000-2026 / contemporary global,"workshops, art/design schools, community design programs, studios, biennales, visual communication platforms","1,100-1,300 successful active sources","source discovery first, then metadata-only probes; favor project pages with creator/date/location/text and clear rights/source links","do not force open-image status; use IMG02 when source-hosted display is clear, keep rights state explicit",project/studio description required; shallow portfolio thumbnails without text should not become main sheets,institution authority and duplication review,2000-2026 growth without future-date inflation; no excessive 2026 bug recurrence,"The internet period should be richer, but it must not become a pile of weak image rows or future-dated records."
NEXT-CAP-007,capture_tranche_a,southeast_asia_modern_contemporary,P1,Southeast Asia,Indonesia (381 review hints); Vietnam; Philippines; Thailand; Malaysia; Singapore,500-650 successful active sources,"national libraries, design biennales, poster archives, university collections, contemporary studio/project pages, local design platforms",IMG03 open-license first; IMG02 source-hosted evidence second; avoid weak IMG04-only additions,at least one source-derived description or context note per main candidate,separate topic geography from source geography in Indonesia/Singapore pending clusters,source-visible >= 90%; IMG04 <= 10%; country attribution from high-signal metadata,Large review hints suggest both opportunity and noise; capture should improve coverage while tightening attribution.
NEXT-CAP-008,capture_tranche_a,caucasus_central_asia_repair,P1,Eastern Europe / Caucasus / Central Asia,Caucasus (64); Azerbaijan (39); Georgia (38); Armenia; Kazakhstan; Uzbekistan; Kyrgyzstan,350-450 successful active sources,"national museum/library records, poster/stamp collections, theatre/film graphics, post-Soviet design platforms, bilingual source queries",IMG03/IMG02 only where source evidence is clear; keep Soviet-era republic context explicit,source-derived context required for republic vs USSR/Caucasus ambiguity,do not collapse Caucasus into a country label without evidence,"region/geography label must distinguish country, macro-region, and USSR-context records",The current pending clusters show under-defined regional logic and need both capture and normalization discipline.
NEXT-CAP-009,capture_tranche_a,south_asia_bangladesh_nepal_pakistan,P1,South Asia,Bangladesh (22); Pakistan; Nepal; Sri Lanka; India non-canonical regional sources,450-550 successful active sources,"national archives, museum/public library collections, design education archives, festival graphics, visual communication studios","prioritize source-visible IMG02/IMG03, reject unsupported image mirrors",source text or catalogue description required for main-sheet candidates,use pending text hints only as search seeds,object verified-open improves without increasing IMG04 share,South Asia needs stronger country-level coverage and more text-supported research packets.
NEXT-CAP-010,capture_tranche_a,mena_africa_noncanonical,P1,MENA / Sub-Saharan Africa,Egypt; Morocco; Tunisia; Algeria; Lebanon; Palestine; Nigeria; Ghana; Kenya; Ethiopia; Senegal; South Africa,650-800 successful active sources,"national collections, poster/periodical archives, cultural institute records, design studios, open museum APIs, Wikimedia Commons only when source page and rights are clear",IMG03 where verified; IMG02 allowed with strong source-hosted evidence; no IMG01/IMG03 heuristic upgrade,avoid image-only rows; require description/context for research value,review Palestine/sensitive labels manually before automated mapping,macro-region and country labels remain distinct; source-visible >= 90%,These regions remain structurally important for non-mainstream coverage and need text-rich capture rather than only object rows.
