candidate_id	candidate_label	technical_role	arity	directionality_decision	visual_arrow_authorized	self_loop_authorized	structural_non_edge	evidence_ids
REL-CAND-0001	mediation	UNRESOLVED_MIXED_ROLE	MULTIPARTY	MIXED_USAGE_DEFER	false	false	false	GRAM-ATT-001;GRAM-ATT-002
REL-CAND-0004	canonization	HISTORIOGRAPHIC_POSITIONING	2	DIRECTED	false	false	false	GRAM-ATT-003
REL-CAND-0005	professionalization	DIRECTED_PROCESS	2	DIRECTED	false	false	false	GRAM-ATT-004;GRAM-ATT-005;GRAM-ATT-008;GRAM-ATT-026
REL-CAND-0006	institutionalization	DIRECTED_PROCESS	2	DIRECTED	false	false	false	GRAM-ATT-006;GRAM-ATT-007
REL-CAND-0007	transnational interactions	UNRESOLVED_MIXED_ROLE	MULTIPARTY	MULTIPARTY	false	false	false	GRAM-ATT-009
REL-CAND-0008	cultural translation	UNRESOLVED_MIXED_ROLE	2+	MIXED_USAGE_DEFER	false	false	false	GRAM-ATT-011;GRAM-ATT-012;GRAM-ATT-013
REL-CAND-0009	design exchanges	MULTIPARTY_ENCOUNTER	MULTIPARTY	MULTIPARTY	false	false	false	GRAM-ATT-010
REL-CAND-0010	commodification	DIRECTED_STATE_TRANSITION	2	DIRECTED	false	false	false	GRAM-ATT-014;GRAM-ATT-015
REL-CAND-0011	gendering	DIRECTED_PROCESS	2	DIRECTED	false	false	false	GRAM-ATT-016;GRAM-ATT-027
REL-CAND-0012	displacement	UNRESOLVED_MIXED_ROLE	2+	MIXED_USAGE_DEFER	false	false	false	GRAM-ATT-017
REL-CAND-0023	transculturation	MULTIPARTY_ENCOUNTER	MULTIPARTY	MULTIPARTY	false	false	false	GRAM-ATT-018
REL-CAND-0024	cultural mobility	UNRESOLVED_MIXED_ROLE	MULTIPARTY	MIXED_USAGE_DEFER	false	false	false	GRAM-ATT-019
REL-CAND-0025	self-exoticization	REFLEXIVE_PROCESS	3	REFLEXIVE	false	false	false	GRAM-ATT-020
REL-CAND-0026	coloniality	STRUCTURAL_CONDITION	STRUCTURAL	STRUCTURAL_NON_EDGE	false	false	true	GRAM-ATT-021
REL-CAND-0032	imitation	DIRECTED_PROCESS	2	DIRECTED	false	false	false	GRAM-ATT-022;GRAM-ATT-023;GRAM-ATT-029
REL-CAND-0033	piracy	NORMATIVELY_QUALIFIED_RELATION	3+	DIRECTED	false	false	false	GRAM-ATT-024;GRAM-ATT-025;GRAM-ATT-028;GRAM-ATT-030
