fragile_source_id,source_name,why_valuable,why_fragile,recommended_treatment,evidence
FRAG001,Hemeroteca Digital Brasileira,Major Brazilian newspaper and magazine history,Current landing experience appears unstable/compromised,link-only until reviewed,[50]
FRAG002,Arcanum Digitheca,Huge Hungarian/Central European periodical corpus,Subscription and access friction,link-only,[32]
FRAG003,Periodika.lv,Important Latvian periodicals,Rights and machine access unclear in this sweep,link-only,[30]
FRAG004,DIGAR,Strong Estonian corpus,Open-data layer insufficiently documented here,backup only,[97]
FRAG005,Hong Kong Memory,Rich local history materials,Differentiated copyright restrictions; some media cannot be copied/downloaded,link-only,[98]
FRAG006,National Library of China,Enormous relevance,Access conditions vary; many services are room- or permission-bound,link-only,[99]
FRAG007,Korean Newspaper Archive,Valuable full-color newspapers,Browser-oriented rather than harvest-first,backup only,[73]
FRAG008,Taiwan Cultural Memory Bank,Important local/community materials,Heterogeneous upstream rights and partner data,backup only,[100]
FRAG009,BNDigital,Large Brazilian corpus,"Rights are partly policy-level, not always record-normalized",backup only,[49]
FRAG010,Memoria Chilena,Excellent scholarship + digitized documents,Mixed rights between thematic content and source objects,backup only,[101]
FRAG011,Biblioteca Nacional de Colombia Digital,Valuable collections,Web sections are not obviously harvest-oriented,backup only,[57]
FRAG012,Biblioteca Pública Piloto Archivo Fotográfico,Major Colombian visual archive,"Web-centered, not clearly machine-first",link-only,[58]
FRAG013,Instituto Moreira Salles Acervo,High-value photography/iconography,Rights and record export not yet normalized for harvesting in this sweep,link-only,[59]
FRAG014,BNMM,Important Argentine holdings,Online access appears service/catalogue-led more than API-led,context only,[61]
FRAG015,Archivo de Historieta y Humor Gráfico Argentinos,Directly relevant to graphic design/history,"Collection exists, but ingest path not verified",context only,[62]
FRAG016,NewspaperSG,Superb for ads and layouts,"Rights and delivery are portal-centered, not bulk-friendly",backup only,[102]
FRAG017,NAS Archives Online,Good historical records,Ordering and rights rules are expressed outside record-level metadata,link-only,[103]
FRAG018,Roots.sg,Useful object pages,Better for browser linking than unattended harvest at scale,backup only,[104]
FRAG019,National Library of the Philippines Digital Collections,High regional importance,Inline PDF/browser dependency and little machine-facing documentation,link-only,[105]
FRAG020,Khastara,Strong Indonesian documentary heritage,Viewer-first interface; export path unclear,backup only,[106]
