gap_id	discovered_checkpoint	gap	severity	status	governing_artifact_or_trigger	required_next_action
GAP-001	CHECKPOINT-001	Round 16A input inventory omitted Round 10 n-ary grammar surfaces and Round 15/legacy multi-node structures.	CLOSURE_BLOCKING	RESOLVED_METHOD_SCOPE	SURF-R10-002;SURF-R10-003;SURF-R10-005;SURF-R10-006;SURF-R15-001;SURF-R15-002;SURF-R16-001	Generate and review their candidates.
GAP-002	CHECKPOINT-001	Association identity and production contracts are binary-only.	CLOSURE_BLOCKING	OPEN	future model/schema/API checkpoint	Introduce first-class association membership and separate composition realization.
GAP-003	CHECKPOINT-001	No prior three-plus-node composition has a complete independent historical group-coherence disposition.	CLOSURE_BLOCKING	OPEN	TRG-004	Reconcile every prior structure without silent loss.
GAP-004	CHECKPOINT-001	Five active vocabulary concepts are isolated in the active pair graph.	CLOSURE_BLOCKING	OPEN	TRG-005	Find bounded higher-order paths or change vocabulary/product eligibility explicitly.
GAP-005	CHECKPOINT-001	Round 13 external domain review units remain NOT_COMPLETED.	CLOSURE_BLOCKING	OPEN	SURF-R13-006	Keep affected claims inactive and report external human-review status truthfully.
GAP-006	CHECKPOINT-001	Scholarly registries lack explicit license, access-condition, and redistribution fields.	CLOSURE_BLOCKING	METHOD_CONTROL_ADDED_REVIEW_OPEN	scholarly-source-rights-ledger.tsv	Populate a source-rights/access ledger before evidence activation.
GAP-007	CHECKPOINT-001	The inherited eight-node and degree-two limits are product/topology settings, not historical association-arity authority.	CLOSURE_BLOCKING	OPEN	TRG-012	Audit product bounds separately from research identity and preserve out-of-bound research associations.
GAP-008	CHECKPOINT-001	Round 16A independent verification is implementation-independent but shares the pair-graph ontology.	CLOSURE_BLOCKING	OPEN	future independent verifier	Reconstruct incidence semantics and candidate/exclusion coverage without generator imports.
GAP-009	CHECKPOINT-001	Round 16A external search is pair-only metadata discovery and accepted no locator-bearing evidence.	CLOSURE_BLOCKING	OPEN	TRG-010;TRG-011	Use adaptive candidate-specific search and preserve results/locators/rejections.
GAP-010	CHECKPOINT-001	Round 16A reports graph edges as associations and can blur association, composition, state, workflow, and export counts.	CLOSURE_BLOCKING	OPEN	baseline-reconciliation-plan.tsv	Publish separate metric definitions and regenerate all affected counts.
GAP-011	CHECKPOINT-001	The frozen database can expose common provenance but not historical association evidence.	CONTROL_REQUIRED	METHOD_CONTROL_ADDED	TRG-009;CATEGORY_OR_DATABASE_COINCIDENCE_ONLY	Require locator-bearing scholarly follow-up for every database trigger.
GAP-012	CHECKPOINT-001	No current verifier proves trigger completeness or the rule-level complement of arbitrary subsets.	CLOSURE_BLOCKING	OPEN	future candidate coverage verifier	Independently regenerate trigger outputs and exclusion complement.
GAP-013	CHECKPOINT-001	Round 9 sense IDs, Round 13 split IDs, Round 14 labels, and Round 16A TRV IDs lack one stable governed concept-sense crosswalk.	CLOSURE_BLOCKING	OPEN	concept-sense-crosswalk.tsv	Build and independently verify exact cross-round sense mappings before canonical candidate identity is frozen.
GAP-014	CHECKPOINT-001	Method triggers have governed conditions and coverage rules but do not yet have executable occurrence selectors and a complete occurrence ledger.	CLOSURE_BLOCKING	OPEN	candidate-trigger-occurrence-ledger.tsv	Implement independently testable selectors; map every occurrence to a candidate, control, duplicate, reconciliation obligation, or proved exclusion.
