cluster_key,priority_rank,packet_layer,recommended_first_action,blocking_issue,safe_for_sandbox_packet_trial,packet_scale,packet_readiness,packet_confidence,packet_relation_lane,region,theme,source_family,five_year_bucket,actual_year_span,global_scope_policy,cluster_size,role_rows,anchor_candidate_count,sub_candidate_count,card_candidate_count,appendix_candidate_count,text_deficit_count,minimum_text_pages,editorial_page_requirement,cover_main_requirement,normal_main_policy,folder_directory_mode,reason
Global / transnational|Modern typography and layout|Wikimedia Commons|1970-1974,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1970-1974,1970-1974,global_host_requires_scope_review,673,673,42,355,250,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=355; card_candidates=250; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1975-1979,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1975-1979,1975-1979,global_host_requires_scope_review,576,576,24,522,23,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=522; card_candidates=23; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Mexico|World War and public-information graphics|Wikimedia Commons|1845-1849,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Mexico,World War and public-information graphics,Wikimedia Commons,1845-1849,1846-1848,region_specific_or_not_global,223,223,0,45,0,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=45; card_candidates=0; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1940-1944,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1940-1944,1940-1944,global_host_requires_scope_review,187,187,21,69,87,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=69; card_candidates=87; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1935-1939,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1939,global_host_requires_scope_review,178,178,7,84,56,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=84; card_candidates=56; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Kazakhstan|Modern typography and layout|Wikimedia Commons|1995-1999,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Kazakhstan,Modern typography and layout,Wikimedia Commons,1995-1999,1995-1999,region_specific_or_not_global,172,172,0,0,172,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=172; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
India|Modern typography and layout|Wikimedia Commons|1940-1944,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,India,Modern typography and layout,Wikimedia Commons,1940-1944,1940-1944,region_specific_or_not_global,143,143,1,131,2,0,0,15,mandatory_editorial_page,cover_main_required,single_normal_main_expected,packet_tree_directory,scale=large; sub_candidates=131; card_candidates=2; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1975-1979,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Indonesia,Modern typography and layout,Wikimedia Commons,1975-1979,1975-1979,region_specific_or_not_global,138,138,0,1,137,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=137; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1965-1969,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1965-1969,1965-1969,global_host_requires_scope_review,136,136,32,48,54,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=48; card_candidates=54; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1930-1934,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1930-1934,1930-1934,global_host_requires_scope_review,135,135,6,53,68,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=53; card_candidates=68; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1970-1974,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Indonesia,Modern typography and layout,Wikimedia Commons,1970-1974,1970-1974,region_specific_or_not_global,125,125,0,3,122,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=3; card_candidates=122; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|2000-2004,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Indonesia,Modern typography and layout,Wikimedia Commons,2000-2004,2000-2004,region_specific_or_not_global,115,115,0,0,114,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=114; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1950-1954,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1950-1954,1950-1954,global_host_requires_scope_review,112,112,52,44,13,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=44; card_candidates=13; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1995-1999,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Indonesia,Modern typography and layout,Wikimedia Commons,1995-1999,1995-1999,region_specific_or_not_global,98,98,0,0,97,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=97; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Iran|Modern typography and layout|Wikimedia Commons|1975-1979,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Iran,Modern typography and layout,Wikimedia Commons,1975-1979,1975-1979,region_specific_or_not_global,98,98,9,75,1,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=75; card_candidates=1; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
