field_id	source_artifact	source_structure	source_field	primary_role	public_object_coverage	nonempty_count	distinct_value_count	character_length_p50	character_length_p95	character_length_p99	character_length_max	language_or_script_state	duplicate_rate	boilerplate_rate	contains_source_identity	contains_structured_label_leakage	contains_url	contains_markup	contains_rights_or_provenance	public_safe	rights_safe	governance_decision	reason	prohibited_use
NLP-FIELD-001	frontend/generated/trace-context-v1/records.json	records[].selectedRecord	title	OBJECT_TITLE	7995	7995	7630	23	109	163	806	Latin:7986;mixed:4;undetermined:5	0.045653533	0	false	true	false	false	true	TRUE	TRUE	INCLUDE_TITLE_CHANNEL	Governed Context supplies exactly one public-safe title for every eligible object.	Same title must not establish identity, semantic truth, or historical relation.
NLP-FIELD-002	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	title	OBJECT_TITLE	7995	7995	7630	23	109	163	806	Latin:7986;mixed:4;undetermined:5	0.045653533	0	false	true	false	false	true	TRUE	TRUE	EXCLUDE	Frozen canonical mirror is reconciled to the governed Context title.	Do not double-index a duplicate title source.
NLP-FIELD-003	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	sourceSubjects	OBJECT_SUBJECT_TERMS	7838	7838	2602	60	156	220	828	Latin:7807;mixed:31	0.668027558	0.593391171	false	true	true	true	true	TRUE	REVIEW_REQUIRED	INCLUDE_SUBJECT_CHANNEL	Source subject terms are a separate, leakage-measured aspect.	Never use unmasked in metadata holdout; never enter the v1 composite before leakage review.
NLP-FIELD-004	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	sourceDescription	SOURCE_NARRATIVE	7432	7432	4933	50	200.45	394.69	5000	Latin:7430;mixed:2	0.336248654	0.307319699	false	true	true	false	true	TRUE	REVIEW_REQUIRED	INCLUDE_SOURCE_NARRATIVE_DIAGNOSTIC	Provider narrative is retained as an isolated source-leakage and retrieval diagnostic.	Never treat as object description or merge into the object-semantic composite.
NLP-FIELD-005	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	descriptionSummary	CURATORIAL_NOTE	7995	7995	5078	155	901	980.12	5000	Latin:7993;mixed:2	0.364853033	0.307191995	true	true	true	false	true	TRUE	REVIEW_REQUIRED	EXCLUDE	This seam mixes provider description, fallback notes, and editorial synthesis.	Do not present as an independently governed object description.
NLP-FIELD-006	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	sourceNotes	PROVENANCE_TEXT	7983	7983	900	107	203	221	623	Latin:7983	0.887260428	0.589502693	false	true	true	true	true	TRUE	FALSE	SOURCE_LEAKAGE_DIAGNOSTIC_ONLY	Notes contain provider templates, identifiers, provenance, and rights language.	Adds zero object-semantic affinity.
NLP-FIELD-007	frontend/generated/trace-context-v1/records.json	records[].selectedRecord.rootMetadata	creatorAttribution	CREATOR_ATTRIBUTION	7995	7995	2984	24	100.3	169	383	Latin:7983;mixed:12	0.626766729	0.279299562	false	true	false	false	false	TRUE	TRUE	INCLUDE_CREATOR_METADATA_ONLY	Governed creator attribution is comparison metadata, not semantic prose.	Do not add positive text affinity or infer creator intent.
NLP-FIELD-008	frontend/generated/trace-context-v1/records.json	records[].selectedRecord.rootMetadata	objectType	OBJECT_TYPE_LABEL	7995	7995	89	6	21	36	73	Latin:7995	0.988868043	0.977110694	false	true	false	false	true	TRUE	TRUE	INCLUDE_OBJECT_TYPE_METADATA_ONLY	Governed object type is a proxy target and leakage label.	Do not include in text input for object-type holdout.
NLP-FIELD-009	generated/public_surfaces_prefreeze_candidate_v48.json	surfaces[]	medium	INTERNAL_CONTROL_TEXT	7995	7995	1167	30	106	196.06	700	Latin:7995	0.854033771	0.810381488	false	true	false	false	true	TRUE	TRUE	SOURCE_LEAKAGE_DIAGNOSTIC_ONLY	Medium is structured archive metadata with heterogeneous display strings.	Do not include in semantic text or unmasked medium holdout.
NLP-FIELD-010	frontend/generated/trace-spacetime-v1/record-index.json	records[]	rawRegionDisplay	INTERNAL_CONTROL_TEXT	7995	7995	94	13	17	22	30	Latin:7995	0.988242652	0.75684803	false	true	false	false	false	TRUE	TRUE	EXCLUDE	Recorded geography is governed Spacetime metadata.	Do not treat geography wording as object semantics.
