low_friction_id,source_name,why_production_ingest,evidence
LF001,Europeana Search API,Large multilingual aggregator; mature API; strong cross-border metadata,[5]
LF002,Gallica Document API,"Stable national-library records, document API, IIIF, and explicit use conditions",[6]
LF003,Rijksmuseum Collection Online,Stable object pages and open high-resolution image program,[7]
LF004,Deutsche Digitale Bibliothek,Public REST API and explicit rights filtering,[9]
LF005,Delpher Newspapers dataset,Strong dataset form for newspaper-scale harvests,[13]
LF006,e-rara,OAI-PMH and image-rich rare-print corpus,[87]
LF007,e-manuscripta,OAI-PMH plus IIIF manifests,[17]
LF008,Wellcome Catalogue API,Rich merged collection metadata with IIIF links,[18]
LF009,POLONA,Strong print graphics and established IIIF-aware practice,[88]
LF010,Czech Digital Library,Large periodical/print corpus running on a harvest-friendly ecosystem,[26]
LF011,DPLA,"CC0 metadata, stable JSON-LD, strong graph value",[89]
LF012,Library of Congress PPOC API,Poster/print-specific metadata and stable identifiers,[36]
LF013,Smithsonian Open Access,Explicit CC0 for millions of objects and media/data,[90]
LF014,NYPL API,Capture-level rights statements and durable digital collections infrastructure,[91]
LF015,Cooper Hewitt,"Design-specific collection data under CC0, API/JSON/CSV access",[40]
LF016,Art Institute of Chicago API,Clean JSON API and IIIF manifests,[92]
LF017,Getty Museum Collection API,Explicit rights modeling in API responses,[93]
LF018,Harvard Art Museums API,"Rich object graph, exhibitions, IIIF manifests",[94]
LF019,Japan Search,National-scale aggregation strategy for Japanese digital heritage,[63]
LF020,NDL Search and NDL Digital Collections,"Persistent IDs, API protocols, and large print/periodical corpus",[95]
