node_id,node_name,date_start,date_end,date_text,geo_centers,transnational_routes,associated_formations,key_media_technologies,key_object_types,key_people,key_institutions,likely_source_types,search_keywords,required_metadata_fields,rights_risk_level,underdocumented_notes,editorial_note,source_basis_note
HN001,"Writing, inscription, manuscript, early reproduction",-3000,1450,Antiquity-c.1450,Mesopotamia; Mediterranean; East Asia; Islamic manuscript cultures,Trade routes; religious and administrative manuscript circulation,Scribal cultures; calligraphic traditions; manuscript illumination,Hand inscription; papyrus; parchment; codex; East Asian woodblock,Tablets; manuscripts; scrolls; seals; diagrams,,Scriptoria; court ateliers; religious institutions,Museum collections; manuscript libraries; special collections,inscription; manuscript; calligraphy; codex; blockbook,title; script; language; place; date_text; material; support; scribe; repository,Low-medium,Essential as precondition but not graphic design in the modern disciplinary sense.,"Use as background node, not as the main modern graphic design scope.","Rights-Aware Archive Index Framework report, historical node map."
HN002,Printing and movable type,1450,1800,c.1450-1800,Mainz; Venice; Antwerp; London; East Asia,Transatlantic print networks; parallel East Asian type and block traditions,Early print culture; humanist typography; Reformation print,Movable type; relief printing; letterpress,Broadsides; pamphlets; books; type specimens; almanacs,Gutenberg-associated print culture,Plantin-Moretus; early foundries; presses,Rare book libraries; type collections; bibliographies; museum print rooms,movable type; incunable; broadside; specimen; presswork,imprint; printer; publisher; place; edition; format; typeface; language,Low,Non-European and parallel printing histories must not be folded into a Eurocentric origin story.,Precondition node for modern graphic design.,"Rights-Aware Archive Index Framework report, historical node map."
HN003,"Engraving, etching, reproductive print",1500,1900,c.1500-1900,Germany; Netherlands; France; Britain; Italy,Print trade and illustrated book circulation,Printmaking and illustration regimes,Copper engraving; etching; woodcut; steel engraving,Illustrated books; maps; advertisements; satirical prints,,Print workshops; publishers; mapmakers,Print rooms; map libraries; illustrated press collections,engraving; etching; illustrated press; trade card,process; plate maker; image maker; publisher; dimensions; print state,Low,Trade ephemera and commercial engravings are often less cataloged than fine-art prints.,Useful bridge between print history and commercial visual communication.,"Rights-Aware Archive Index Framework report, historical node map."
HN004,Lithography and chromolithography,1796,1919,c.1796-1910s,Munich; Paris; London; New York,Global industrial transfer,Poster culture; illustrated advertising; packaging print,Lithography; chromolithography; transfer printing,Posters; labels; packaging; sheet music covers; trade cards,,Lithographic printers; advertising houses; illustrated periodicals,Poster archives; museum APIs; trade-catalog and ephemera collections,lithograph; chromolithograph; affiche; label; trade card,printer; process; color count; client; publisher; edition; condition,Medium,"Commercial labels, wrappers, and packaging are scattered across ephemera collections.",Core node for industrial visual culture and public display.,"Rights-Aware Archive Index Framework report, historical node map."
HN005,Nineteenth-century commercial print ecology,1830,1914,c.1830-1914,Paris; London; New York; Berlin; Vienna,Colonial trade routes; illustrated press circulation,Advertising cultures; illustrated press; department-store print,Steam printing; halftone; mass periodicals,Posters; newspapers; magazines; catalogues; packaging; newspaper ads,,Newspapers; illustrated magazines; printers; publishers; department stores,Newspaper archives; periodical databases; museum collections; HathiTrust; Internet Archive,illustrated press; advertising; catalogue; packaging; newspaper advertisement,periodical title; issue; issue_date; page; advertiser; product; publisher,Medium,"Packaging, women's press, vernacular job printing, colonial and multilingual commercial print need explicit inclusion.",Important evidence field for design before professionalized graphic design.,"Rights-Aware Archive Index Framework report, historical node map."
HN006,"Arts and Crafts, Art Nouveau, Jugendstil, Secession, reform",1880,1914,c.1880s-1914,Britain; Belgium; France; Austria; Germany; Glasgow,U.S. routes via exhibitions and publishing,Arts and Crafts; Art Nouveau; Jugendstil; Vienna Secession,Letterpress; lithography; ornamental type; integrated design,Books; journals; posters; interiors graphics; exhibition graphics,William Morris circles; Charles R. Mackintosh; Henry van de Velde,Secession journals; design libraries; exhibition societies,Museum collections; exhibition catalogues; design libraries,arts and crafts; art nouveau; jugendstil; secession; reform,movement; school; city; publication; designer; ornament; typography,Medium,"Women designers, craft labor, and non-metropolitan reform print cultures remain under-indexed.","Node joins design reform, ornament, publishing, and poster cultures.","Rights-Aware Archive Index Framework report, historical node map."
HN007,Avant-garde rupture and experiment,1909,1935,c.1909-1935,Italy; Zurich; Berlin; Paris; Moscow; Petrograd; Leiden; Warsaw,Avant-garde journals; manifestos; exhibitions; political networks,Futurism; Dada; De Stijl; Constructivism; Suprematism; Productivism; photomontage,Letterpress; collage; photomontage; experimental typography,Manifestos; magazines; books; posters; political graphics,Marinetti networks; Tristan Tzara; El Lissitzky; Rodchenko; Klutsis; Stenberg brothers,,Museum collections; avant-garde periodical scans; exhibition archives,futurism; dada; de stijl; constructivism; suprematism; productivism; photomontage,movement; issue; manifesto; contributor; relation_type; documented_source,Medium,The archive must separate formal resemblance from documented network ties.,Core node for typographic experiment and political modernism.,"Rights-Aware Archive Index Framework report, historical node map."
HN008,"Bauhaus, New Typography, modernist books and magazines",1919,1938,c.1919-1938,Weimar; Dessau; Berlin; Zurich; Prague; Amsterdam; London,Exile routes and diasporic transmission,Bauhaus; New Typography; functional modernism,Sans typography; asymmetric layout; photography; standardized formats,Books; stationery; posters; exhibition matter; teaching material,Herbert Bayer; Jan Tschichold; Moholy-Nagy,Bauhaus; modernist publishers,School archives; museum collections; special collections,bauhaus; new typography; asymmetry; sans serif; modernist layout,school; course; teacher; student; publication; edition; printer,Medium,"Transmission into Britain, the U.S., Latin America, and elsewhere should be indexed as relations, not assumed.","Canonical node, but must be linked outward to transmission and reception.","Rights-Aware Archive Index Framework report, historical node map."
HN009,"Propaganda, wartime graphics, public information, state design",1914,1959,c.1914-1950s,Europe; USSR; U.S.; colonial administrations; anti-fascist networks,"State, military, colonial, and opposition information networks",War posters; public information; state exhibitions; political communication,Offset; lithography; photography; infographics,Posters; pamphlets; maps; manuals; public campaigns,,Government printing offices; ministries; war information offices,National archives; poster collections; newspaper archives,propaganda; public information; war poster; ministry; bond drive,issuing_body; campaign; locale; audience; language; rights_holder,Variable,"Anti-colonial, labor, and opposition graphics need equal treatment alongside state material.",Use issuing body and campaign metadata carefully.,"Rights-Aware Archive Index Framework report, historical node map."
HN010,"Swiss Style, grids, systems, information design, wayfinding",1945,1975,c.1945-1975,Zurich; Basel; Ulm; Milan; New York; Tokyo,"Design education, transit authorities, corporate and civic systems",International Typographic Style; systems design; information design,Grid systems; sans type; photographic reproduction; signage systems,Posters; identity manuals; transit graphics; maps; manuals,Josef Muller-Brockmann; Otl Aicher,Basel School; Ulm; transit authorities,Design archives; museum collections; transit archives,swiss style; international typographic style; grid; wayfinding; pictogram,system_name; client; implementation_site; component_type; version,Medium,"Non-Swiss systems in Japan, Latin America, India, and socialist states should be indexed comparatively.",Do not collapse systems design into Swiss canon only.,"Rights-Aware Archive Index Framework report, historical node map."
