ordinal	candidate_id	sense_id	candidate_label	round9_final_decision	round9_source_support_ids	round9_candidate_registry_version	round9_candidate_registry_sha256	round9_grammar_selected	exact_input_verified
1	REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	PASS_TO_GRAMMAR_RESEARCH	ATT-0001;ATT-0002	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
2	REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	PASS_TO_GRAMMAR_RESEARCH	ATT-0007;ATT-0008	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
3	REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	PASS_TO_GRAMMAR_RESEARCH	ATT-0009;ATT-0010	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
4	REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	PASS_TO_GRAMMAR_RESEARCH	ATT-0011;ATT-0012	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
5	REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	PASS_TO_GRAMMAR_RESEARCH	ATT-0013;ATT-0014	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
6	REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	PASS_TO_GRAMMAR_RESEARCH	ATT-0015;ATT-0016	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
7	REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	PASS_TO_GRAMMAR_RESEARCH	ATT-0017;ATT-0018	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
8	REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	PASS_TO_GRAMMAR_RESEARCH	ATT-0019;ATT-0020	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
9	REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	PASS_TO_GRAMMAR_RESEARCH	ATT-0021;ATT-0022	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
10	REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	PASS_TO_GRAMMAR_RESEARCH	ATT-0023;ATT-0024	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
11	REL-CAND-0023	REL-CAND-0023#SENSE-A	transculturation	PASS_TO_GRAMMAR_RESEARCH	ATT-0036;ATT-0037	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
12	REL-CAND-0024	REL-CAND-0024#SENSE-A	cultural mobility	PASS_TO_GRAMMAR_RESEARCH	ATT-0038;ATT-0039	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
13	REL-CAND-0025	REL-CAND-0025#SENSE-A	self-exoticization	PASS_TO_GRAMMAR_RESEARCH_FOUNDATIONAL_TERM	ATT-0040;ATT-0041	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
14	REL-CAND-0026	REL-CAND-0026#SENSE-A	coloniality	PASS_TO_GRAMMAR_RESEARCH	ATT-0042;ATT-0043	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
15	REL-CAND-0032	REL-CAND-0032#SENSE-A	imitation	PASS_TO_GRAMMAR_RESEARCH	ATT-0052;ATT-0053	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
16	REL-CAND-0033	REL-CAND-0033#SENSE-A	piracy	PASS_TO_GRAMMAR_RESEARCH	ATT-0054;ATT-0055	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	false	true
