attestation_id	candidate_id	sense_id_if_applicable	source_id	author	year	publication	exact_attested_term	grammatical_form	source_language	published_translation_if_any	page_or_section_locator	bounded_context	context_word_count	context_sha256	relation_usage_paraphrase	peer_reviewed_article	design_history_usage	source_metadata_verified	attestation_verified	independent_scholarly_work
ATT-0001	REL-CAND-0001		SRC-0001	Grace Lees-Maffei	2009	Journal of Design History	mediation	NOUN	English		abstract/p.351	this article identifies mediation as a third stream in design history	11	be5bcef3fbf49e3cceb31a295eada83fd0c87cb379dbb0747149eff9250dda1b	Two exact article attestations support a coherent intermediary process.	true	true	true	true	true
ATT-0002	REL-CAND-0001		SRC-0002	Jessica Kelly; Claire Jamieson	2020	Journal of Design History	mediation	NOUN	English		p.10	the recognition of mediation as a useful tool has broadened the horizons of both design and architectural history	18	3d7eacb76641bfa03257a0beba38e8a6fb30c5a7604612769f22825100c35f8c	Two exact article attestations support a coherent intermediary process.	true	true	true	true	true
ATT-0003	REL-CAND-0002	REL-CAND-0002#UNRESOLVED-SENSE	SRC-0003	Basile Zimmermann; Nicolas Nova	2015	Design and Culture	circulation	NOUN	English		abstract/p.167	design can be understood as a circulation process	8	d6495d759ba3d6d6dc50419b8fef48c50a0d9807c05526d31405dee5bf421a5d	Design-element movement and metropolitan circulation are materially different senses.	true	true	true	true	true
ATT-0004	REL-CAND-0002	REL-CAND-0002#UNRESOLVED-SENSE	SRC-0004	Luis M. Castañeda	2012	Journal of Design History	circulation	NOUN	English		title/p.285	Networks of Circulation and Power in Olympic Mexico	8	98438fa4171925e930da4a2cf597d6af41a883127c8c01c8d7ab62bc050baca1	Design-element movement and metropolitan circulation are materially different senses.	true	true	true	true	true
ATT-0005	REL-CAND-0003	REL-CAND-0003#UNRESOLVED-SENSE	SRC-0005	Adriana Laura Massidda	2019	Journal of Design History	appropriation	NOUN	English		title/p.35	process of creative appropriation	4	eb9fea0b8601555de0dfbf711775aa14a70b6af520984cc0345f3fb705e72123	Selective local incorporation and colonial extraction require separate senses and further evidence.	true	true	true	true	true
ATT-0006	REL-CAND-0003	REL-CAND-0003#UNRESOLVED-SENSE	SRC-0006	Daniele Burlando	2023	Journal of Design History	appropriation	NOUN	English		abstract/p.35	supporting the appropriation and commodification of colonized textiles in Europe	10	a5dfc5259e9753f78967b00ad5db07ed5fb092330302d9dc468088caf942a655	Selective local incorporation and colonial extraction require separate senses and further evidence.	true	true	true	true	true
ATT-0007	REL-CAND-0004		SRC-0007	Dori Griffin	2016	Visible Language	canonization	NOUN	English		p.20	The early European Avant-Garde is perhaps one of the most notable examples of problematic canonization	15	26f314c1e4739bcf644e3d795f6476bb88c209ca6c0ca5b163b57f6db15866b5	Two historical studies use the noun for elevation into canonical status.	true	true	true	true	true
ATT-0008	REL-CAND-0004		SRC-0008	Samuel Merrill	2013	The London Journal	canonization	NOUN	English		abstract/p.245	the processes that have determined the increasing canonization of the diagram	11	c0a52a60d0d500c64acdd0e5519969245e860aac74913f80cc3bbd8e23165de5	Two historical studies use the noun for elevation into canonical status.	true	true	true	true	true
ATT-0009	REL-CAND-0005		SRC-0009	Grace Lees-Maffei	2008	Journal of Design History	professionalization	NOUN	English		abstract/p.1	processes of professionalization which, from 1870 to 1970, moved the practice and product of interior design beyond its amateur origins	20	528391c946398c32b6b466f26389e7ce53774c419f6b3844b086285d7b538d75	Article and scholarly chapter support a coherent status-forming process.	true	true	true	true	true
ATT-0010	REL-CAND-0005		SRC-0010	Mark Taylor; Natalie Haskell	2019	A Companion to Contemporary Design since 1945	professionalization	NOUN	English		title/p.393	The Professionalization of Interior Design	5	2954c653dfec9714337dd325207c3997cd493932bfb0a977cb587a8b03bcc35b	Article and scholarly chapter support a coherent status-forming process.	false	true	true	true	true
ATT-0011	REL-CAND-0006		SRC-0011	Dora Souza Dias	2019	Journal of Design History	institutionalization	NOUN	English		abstract/p.188	strictly related to the institutionalization of design from the mid-1950s	10	1ac711f07ec4b642b905f8d07890c15e1253473381122dae288b5be68cfa5593	Two articles use the noun for design's embedding in durable organizations.	true	true	true	true	true
ATT-0012	REL-CAND-0006		SRC-0012	Tania Messell	2019	Journal of Design History	institutionalization	NOUN	English		title/p.88	Globalization and Design Institutionalization	4	131ba948011cc3c1ff48cff23a7d36e31ade7fbdd110ee62e99acf689dbe2608	Two articles use the noun for design's embedding in durable organizations.	true	true	true	true	true
ATT-0013	REL-CAND-0007		SRC-0011	Dora Souza Dias	2019	Journal of Design History	transnational interactions	NOUN_PHRASE	English		abstract/p.188	transnational interactions with western Europe and the USA have affected Latin American graphic design practice	15	a8854bc0d1d8434e1e218531f5fca177ef1ec2a208c7deaa26e703a8d8e5a558	Independent regional studies attest the exact plural relational phrase.	true	true	true	true	true
ATT-0014	REL-CAND-0007		SRC-0013	Yuko Kikuchi; Yunah Lee	2014	Journal of Design History	transnational interactions	NOUN_PHRASE	English		section heading	Transnational interactions of people, objects, ideas and movement	8	3e1565a2bf0ddb0fef6633e35700ba5b3b7c7e05d7fec4b8ca8da49924a70c9f	Independent regional studies attest the exact plural relational phrase.	true	true	true	true	true
ATT-0015	REL-CAND-0008		SRC-0014	Yuko Kikuchi	2011	Journal of Design History	cultural translation	NOUN_PHRASE	English		opening/p.273	post-colonial studies' interest in cultural translation	6	b81f756d1a8438a486767599a22e353626e5aff7cda693fa837072f5a73bf6d1	Independent historical works use the exact phrase for cross-cultural remaking.	true	true	true	true	true
ATT-0016	REL-CAND-0008		SRC-0015	Jan Logemann	2017	Geschichte und Gesellschaft	cultural translation	NOUN_PHRASE	English		title/p.413	Consumer Modernity as Cultural Translation	5	18c307a5f2bc8e87742c403c701cd71710a2ae6c47d8ab526a979e688c6a1e0d	Independent historical works use the exact phrase for cross-cultural remaking.	true	true	true	true	true
ATT-0017	REL-CAND-0009		SRC-0016	Patricia Lara-Betancourt; Livia Rezende	2019	Journal of Design History	design exchanges	NOUN_PHRASE	English		abstract/p.1	design exchanges, understood as meetings and encounters of cultural practices, peoples and objects	13	eab3693b8c0436405aa5651458bd87aa41f200599447057934145c54b8ce627f	Two independent works define and apply the exact phrase, with issue-concentration noted.	true	true	true	true	true
ATT-0018	REL-CAND-0009		SRC-0005	Adriana Laura Massidda	2019	Journal of Design History	design exchanges	NOUN_PHRASE	English		title/p.35	Design Exchanges in Mid-Twentieth Century Buenos Aires	7	3b235352d9e2929fa93bc01027bad1fd749e2cbc7b7228abba280db4ea0f45d8	Two independent works define and apply the exact phrase, with issue-concentration noted.	true	true	true	true	true
ATT-0019	REL-CAND-0010		SRC-0017	Livia Rezende	2017	Journal of Design History	commodification	NOUN	English		title/p.122	commodification and gendering of Brazilian tropical nature	7	ae0411b3826e0529d7ba47a93b05e922373ce6e00fee2dd81991dd2ed5e7d986	Independent articles attest transformation into marketable value.	true	true	true	true	true
