candidate_id	candidate_label	candidate_synonyms	near_synonyms	confusable_terms	source_context_count_reviewed	semantic_verifier_agreement	adversarial_review	merge_decision	merge_evidence
REL-CAND-0001	mediation	NONE_MERGED	intermediation; reception	intermediation; reception	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0002	circulation	NONE_MERGED	cultural mobility; distribution	cultural mobility; distribution	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0003	appropriation	NONE_MERGED	creative appropriation; cultural appropriation; borrowing	creative appropriation; cultural appropriation; borrowing	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0004	canonization	NONE_MERGED	canon formation; canon	canon formation; canon	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0005	professionalization	NONE_MERGED	institutionalization	institutionalization	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0006	institutionalization	NONE_MERGED	professionalization	professionalization	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0007	transnational interactions	NONE_MERGED	design exchanges; cultural diplomacy	design exchanges; cultural diplomacy	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0008	cultural translation	NONE_MERGED	translation; transculturation	translation; transculturation	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0009	design exchanges	NONE_MERGED	transnational interactions; cultural exchange	transnational interactions; cultural exchange	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0010	commodification	NONE_MERGED	commercialization	commercialization	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0011	gendering	NONE_MERGED	gender attribution; exclusion	gender attribution; exclusion	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0012	displacement	NONE_MERGED	circulation; cultural mobility	circulation; cultural mobility	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0013	exclusion	NONE_MERGED	erasure; marginalization	erasure; marginalization	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0014	erasure	NONE_MERGED	exclusion; omission	exclusion; omission	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0015	access	NONE_MERGED	inclusion; accessibility	inclusion; accessibility	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0016	translation	NONE_MERGED	cultural translation; linguistic translation	cultural translation; linguistic translation	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0017	creative appropriation	NONE_MERGED	appropriation	appropriation	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0018	collective process	NONE_MERGED	collaboration; co-production	collaboration; co-production	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0019	relational infrastructure	NONE_MERGED	infrastructure; intimacy	infrastructure; intimacy	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0020	work migrations	NONE_MERGED	migration; cultural mobility	migration; cultural mobility	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0021	collective production	NONE_MERGED	collective process; co-production	collective process; co-production	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0022	oblikovanje	NONE_MERGED	form-giving; design	form-giving; design	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0023	transculturation	NONE_MERGED	cultural translation; hybridity	cultural translation; hybridity	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0024	cultural mobility	NONE_MERGED	circulation; migration	circulation; migration	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0025	self-exoticization	NONE_MERGED	exoticization; national branding	exoticization; national branding	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0026	coloniality	NONE_MERGED	colonialism; coloniality of power	colonialism; coloniality of power	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0027	decolonization	NONE_MERGED	decoloniality; anti-colonial struggle	decoloniality; anti-colonial struggle	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0028	power relations	NONE_MERGED	coloniality; authority	coloniality; authority	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0029	cultural transferral	NONE_MERGED	cultural transfer; cultural translation	cultural transfer; cultural translation	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0030	cultural diplomacy	NONE_MERGED	soft power; design diplomacy	soft power; design diplomacy	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0031	transnationalism	NONE_MERGED	transnational design history; globalization	transnational design history; globalization	1	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0032	imitation	NONE_MERGED	piracy; copying	piracy; copying	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
REL-CAND-0033	piracy	NONE_MERGED	imitation; copying; infringement	imitation; copying; infringement	2	KEEP_DISTINCT	KEEP_DISTINCT	KEEP_DISTINCT	No two-source evidence plus dual-review agreement supports a merge.
