hybrid_id	left_method_id	right_method_id	rrf_constant	evaluation_k	eligible_query_count	known_item_recall	ranking_ids_sha256	weights_selected	production_selected	hybrid_selected	fusion_weights_selected	historical_relation	semantic_relation	probability	status	limitation
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K10	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	10	1	6	1	00e67def23886a2e5a8c8acbe6622ea610e9d25170ee6bb7aac25090b6d0c58d	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K10	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	10	10	6	1	00e67def23886a2e5a8c8acbe6622ea610e9d25170ee6bb7aac25090b6d0c58d	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K10	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	10	20	6	1	00e67def23886a2e5a8c8acbe6622ea610e9d25170ee6bb7aac25090b6d0c58d	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K10	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	10	5	6	1	00e67def23886a2e5a8c8acbe6622ea610e9d25170ee6bb7aac25090b6d0c58d	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K100	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	100	1	6	1	5b576b819f57c70336f5856b6b022cc766958b28193bb9b6c652c37ce683ef88	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K100	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	100	10	6	1	5b576b819f57c70336f5856b6b022cc766958b28193bb9b6c652c37ce683ef88	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K100	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	100	20	6	1	5b576b819f57c70336f5856b6b022cc766958b28193bb9b6c652c37ce683ef88	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K100	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	100	5	6	1	5b576b819f57c70336f5856b6b022cc766958b28193bb9b6c652c37ce683ef88	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K60	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	60	1	6	1	e4702c89dfd1a656ba433f79207aa24e4f60851b0bf08aafb7b1915c2e23ef57	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K60	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	60	10	6	1	e4702c89dfd1a656ba433f79207aa24e4f60851b0bf08aafb7b1915c2e23ef57	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K60	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	60	20	6	1	e4702c89dfd1a656ba433f79207aa24e4f60851b0bf08aafb7b1915c2e23ef57	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L0-BM25F-EQUAL-TITLE-K60	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L0-BM25F-EQUAL-TITLE	60	5	6	1	e4702c89dfd1a656ba433f79207aa24e4f60851b0bf08aafb7b1915c2e23ef57	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L1-CHAR-3-5-TITLE-K10	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L1-CHAR-3-5-TITLE	10	1	6	1	1f5e616c583903293bf73df42e55bccd66ccd73444a113273b7e066c5e3b40a1	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L1-CHAR-3-5-TITLE-K10	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L1-CHAR-3-5-TITLE	10	10	6	1	1f5e616c583903293bf73df42e55bccd66ccd73444a113273b7e066c5e3b40a1	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
RRF-NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC-NLP-L1-CHAR-3-5-TITLE-K10	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP-L1-CHAR-3-5-TITLE	10	20	6	1	1f5e616c583903293bf73df42e55bccd66ccd73444a113273b7e066c5e3b40a1	false	false	false	false	false	false	false	PASS	Analysis-only RRF grid; no weights or production hybrid selected.
