gate_id	requirement	contract_source	verification_method	expected_result	receipt_key
CTX-CANVAS-INV-001	Canvas composition never mutates TraceContextDataset	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Deep-freeze/snapshot dataset; execute every reducer action; compare input bytes and references	PASS	NO_DATABASE_WRITE=true
CTX-CANVAS-INV-002	Adding an entity never creates semantic data	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Add hidden entity; assert dataset connection arrays/counts unchanged and composition stores ID/position only	PASS	AUTO_CONNECTIONS=PASS
CTX-CANVAS-INV-003	Rendered connection exists only when present in dataset	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md; 05_LAYOUT_AND_CONNECTION_CONTRACT.md	Exercise visible endpoint combinations and an unrelated entity pair; compare derived IDs to source typed collections	PASS	AUTO_CONNECTIONS=PASS
CTX-CANVAS-INV-004	User cannot manually create a semantic edge	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Static-scan actions/components for edge-authoring operations and assert reducer exports no create/edit-edge action	PASS	MANUAL_RELATION_CREATION_DISABLED=PASS
CTX-CANVAS-INV-005	ControlledAssignment remains distinct from CuratedMembership	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Type-level/runtime fixtures assert separate branches, labels, inspector fields, and accessible categories	PASS	AUTO_CONNECTIONS=PASS
CTX-CANVAS-INV-006	SemanticEdge remains distinct from membership and assignment	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Synthetic accepted edge retains predicate/evidence fields and cannot be constructed from membership/assignment actions	PASS	AUTO_CONNECTIONS=PASS
CTX-CANVAS-INV-007	Hiding an entity does not delete source entity or connection	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Hide then re-add entity; compare dataset snapshot and assert same connection ID reappears	PASS	RESET_CANVAS=PASS
CTX-CANVAS-INV-008	Duplicate palette drop does not create duplicate nodes	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Add/drop visible stable ID twice; assert visible ID uniqueness and existing node selection/focus	PASS	PALETTE_DRAG_ADD=PASS
CTX-CANVAS-INV-009	Same dataset and template version produce same initial layout	03_TEMPLATE_CONTRACT.md	Initialize every template repeatedly with source arrays permuted; deep-compare selected IDs and positions	PASS	TEMPLATE_INITIALIZATION=PASS
CTX-CANVAS-INV-010	Auto Arrange is deterministic	05_LAYOUT_AND_CONNECTION_CONTRACT.md	Arrange identical visible sets from different prior positions/order; deep-compare returned position maps	PASS	AUTO_ARRANGE=PASS
CTX-CANVAS-INV-011	Same visible nodes and positions produce deterministic SVG geometry	05_LAYOUT_AND_CONNECTION_CONTRACT.md	Generate connection path data repeatedly and compare byte-for-byte	PASS	AUTO_CONNECTIONS=PASS
CTX-CANVAS-INV-012	Undo/redo affects composition only	04_INTERACTION_AND_STATE_CONTRACT.md	Run add/hide/move/template/arrange history; assert viewport and dataset are not restored/mutated	PASS	UNDO=PASS; REDO=PASS
CTX-CANVAS-INV-013	Persistence stores stable public references/positions, not canonical objects	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md; 04_INTERACTION_AND_STATE_CONTRACT.md	Serialize and inspect allowed-key schema; reject embedded entity/connection payloads and non-finite values	PASS	LOCAL_PERSISTENCE=PASS
CTX-CANVAS-INV-014	Held/private/internal identifiers never enter fixture or export	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md; 06_PNG_EXPORT_CONTRACT.md	Scan fixture/export snapshot/filename for forbidden keys, UUID pattern, URLs, held state, and non-public IDs	PASS	NO_REAL_UNREVIEWED_CONTEXT_DATA_EXPOSED=true
CTX-CANVAS-INV-015	PNG export includes canvas content and excludes application chrome	06_PNG_EXPORT_CONTRACT.md	Inspect deterministic export-only SVG for every visible node/connection and absence of toolbar/palette/inspector/selection markers	PASS	PNG_EXPORT_CONTRACT=PASS
CTX-CANVAS-INV-016	Every visible semantic connection has accessible-row equivalent	07_ACCESSIBILITY_CONTRACT.md	Map derived visible typed connection IDs/categories to accessible rows; assert complete coverage	PASS	ACCESSIBLE_ROW_CONTRACT=PASS
CTX-CANVAS-INV-017	Context Canvas does not import v48 TRACE assets	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Static-scan route/feature import graph and changed files for trace-v48/legacy/generated v48 references	PASS	NO_V48_TRACE_DATA_IMPORTED=true
CTX-CANVAS-INV-018	Context Canvas does not invoke Search, AI, embeddings, map, or Exploration Field code	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Static-scan import graph and functional calls for forbidden subsystems	PASS	SPACETIME_IMPLEMENTATION_FILES_ADDED=0; EXPLORATION_IMPLEMENTATION_FILES_ADDED=0
CC-AC-001	Unlinked noindex prototype route exists at /trace/context-canvas	00_CONTEXT_CANVAS_FUNCTIONAL_DECISION.md	Inspect route metadata, page label, navigation diff, and current /trace diff	PASS	CONTEXT_CANVAS_ROUTE_CREATED=true; CURRENT_TRACE_ROUTE_CHANGED=0
CC-AC-002	Prototype uses rich synthetic public-safe fixture only	01_CONTEXT_CANVAS_PRODUCT_CONTRACT.md	Assert fixture flags, neutral labels, about nine associations, and no production candidate imports	PASS	CONTEXT_CANVAS_USES_SYNTHETIC_DATA_ONLY=true; CONTEXT_CANVAS_DATA_MODE=synthetic-contract-only
CC-AC-003	Exactly four stable templates initialize from versioned contracts	03_TEMPLATE_CONTRACT.md	Assert registry IDs/version/default and deterministic selection for overview, descriptive, curated, and full	PASS	CONTEXT_TEMPLATE_COUNT=4; TEMPLATE_INITIALIZATION=PASS
CC-AC-004	Palette supports pointer drag/add and keyboard/button add	02_CONTROL_INVENTORY.tsv; 04_INTERACTION_AND_STATE_CONTRACT.md	Exercise palette drag/drop and ADD_ENTITY action; assert incident known connections appear	PASS	ENTITY_PALETTE=PASS; PALETTE_DRAG_ADD=PASS; PALETTE_KEYBOARD_ADD=PASS
