surface_id	record_selector	top_level_fields_json	record_fields_json	contract_sha256
SURF-R09-001	tsv_rows	[]	"[""source_id"",""authors"",""year"",""title"",""publication"",""source_class"",""tier"",""volume_issue"",""pages"",""doi_isbn"",""publisher"",""stable_publisher_url"",""source_language"",""source_strata"",""peer_reviewed"",""metadata_verified"",""discovery_batch""]"	bf33258b44089226353b7dac2f0ad9384b54ce19f0b4f89c650d9cad1045df58
SURF-R09-002	tsv_rows	[]	"[""candidate_id"",""candidate_label"",""original_language_label"",""published_translation_label"",""grammatical_form"",""noun_attested"",""discovery_source_id"",""discovery_locator"",""observed_usage_role"",""first_attestation_count"",""peer_reviewed_article_attestation_count"",""independent_scholarly_attestation_count"",""plain_language_gloss_status"",""directionality_observation_status"",""contestation_status"",""polysemy_status"",""discovery_agent_id"",""candidate_registry_version"",""candidate_registry_sha256"",""final_decision"",""decision_reason"",""all_required_checks_complete""]"	7183ecd95e8e12d2187ab488e911526c786bb9be1216e004942fd56ab96d8080
SURF-R09-003	tsv_rows	[]	"[""attestation_id"",""candidate_id"",""sense_id_if_applicable"",""source_id"",""author"",""year"",""publication"",""exact_attested_term"",""grammatical_form"",""source_language"",""published_translation_if_any"",""page_or_section_locator"",""bounded_context"",""context_word_count"",""context_sha256"",""relation_usage_paraphrase"",""peer_reviewed_article"",""design_history_usage"",""source_metadata_verified"",""attestation_verified"",""independent_scholarly_work""]"	d25b69cc752e27247c34209bafa6bddd2319a75272e175f729a61511380bfdff
SURF-R09-004	tsv_rows	[]	"[""candidate_id"",""sense_id"",""candidate_label"",""plain_language_gloss"",""natural_language_relation_frame"",""why_relational"",""scope_in"",""scope_out"",""subject_role_description"",""object_role_description"",""descriptive_or_interpretive"",""confusable_terms"",""source_support_ids"",""semantic_verifier_id"",""second_semantic_check_id"",""natural_language_test_A"",""natural_language_test_B"",""natural_language_test_C"",""explainability_pass"",""reviewer_1_comprehension"",""reviewer_2_comprehension"",""reviewer_3_comprehension""]"	6546274520fe3a7899f368a06d2a1c3694f8e42c79d7d7844061c3c1d5b7e166
SURF-R09-005	tsv_rows	[]	"[""candidate_id"",""candidate_label"",""final_decision"",""decision_reason"",""noun_attested"",""verify_a"",""verify_b"",""semantic_result"",""adversarial_result"",""candidate_registry_sha256""]"	3b7cf646b174e59fbd763cd1b2c3904c665b7b0eefa37f636629ffcd2c15281b
SURF-R10-001	tsv_rows	[]	"[""source_id"",""authors"",""year"",""title"",""publication"",""source_class"",""peer_reviewed"",""publisher"",""doi_isbn"",""stable_publisher_url"",""source_language"",""published_translation"",""source_stratum"",""new_for_round10"",""metadata_verified"",""discovery_batch""]"	3d3ce66584e6d913e77a38a3aeb883548da0dddf6c5bcc5cad9056a53bd698cc
SURF-R10-002	tsv_rows	[]	"[""candidate_id"",""candidate_label"",""arity"",""subject_role"",""target_role"",""additional_party_roles"",""input_state"",""output_state"",""required_context"",""required_qualification"",""scope_in"",""scope_out"",""contains_any_role"",""empty_role_count"",""source_support_ids""]"	bd14c565f8dd20556cc581623c3635a631fb8ea8d14d9c6ff77766d1d2af25ef
SURF-R10-003	tsv_rows	[]	"[""grammar_attestation_id"",""source_id"",""candidate_term_id"",""candidate_sense_id"",""candidate_label"",""exact_attested_noun"",""bounded_context"",""page_section_locator"",""source_language"",""published_translation"",""observed_subject_role"",""observed_target_role"",""observed_additional_parties"",""observed_directionality"",""observed_state_transition"",""observed_qualifier"",""observed_negation"",""observed_contestation"",""co_occurring_relation_term_ids"",""evidence_sha256"",""metadata_verified""]"	cac2871be5e65317bf1d788541afaced75f91b7bd0c74721ef742c335aeb7971
SURF-R10-004	tsv_rows	[]	"[""source_candidate_id"",""source_label"",""target_candidate_id"",""target_label"",""ordered_pair_key"",""decision"",""grammar_attestation_ids"",""explicit_role_mapping"",""directionality"",""qualification_scope_out_complete"",""natural_language_explanation_complete"",""semantic_review_status"",""adversarial_review_status"",""universal_node_review_status"",""decision_reason""]"	f67704fd8b6956ee1f967d22de31944e183c39d56fa0f9fcc9156feb39ceb46d
SURF-R10-005	tsv_rows	[]	"[""cluster_handoff_id"",""candidate_term_ids"",""candidate_labels"",""source_ids"",""shared_conceptual_framing"",""synonym_collapse"",""equivalence_claim"",""decision"",""reason""]"	9645a0be42cd58565c74382919d2531236ae21b34148c1d5e08bf703f5687605
SURF-R10-006	tsv_rows	[]	"[""chain_id"",""source_ids"",""ordered_term_ids"",""ordered_labels"",""directionality"",""qualification"",""author_argument_type"",""transitive_inference"",""active_grammar_selected""]"	c6e55f245811aed036b0c1fd7db5eabcfd411638215243f439eab9dbd4950d87
SURF-R10-007	tsv_rows	[]	"[""gap_id"",""observed_gap"",""trigger_terms"",""evidence_basis"",""new_public_label_created"",""future_gate""]"	c03b6b48ee07b1310a21a82062fb675b663be18b8f5dfd52a1f43d28330bc256
SURF-R11-001	tsv_rows	[]	"[""constraint_id"",""requirement"",""status"",""evidence""]"	6f0c61eaf65a2633933b198c44a40b64e6fe75029a73bacf9f93f1042542e8bc
SURF-R11-002	tsv_rows	[]	"[""fixture_id"",""fixture_kind"",""purpose"",""synthetic_test_only"",""production_exportable""]"	81e1a5f1eab74b8e03038ac07b3fa50c647c1378392fc686dc0131e27e95b3c6
SURF-R11-003	tsv_rows	[]	"[""case_id"",""attack"",""expected_outcome"",""actual_outcome"",""status""]"	6c47937c6542af543b2202d0eadb1fdb109e4308891535de74cd2a620e2dbb46
SURF-R12-001	json:candidates	"[""active"",""candidates"",""canonicalHash"",""packageId"",""round10CommitSha"",""round10InputTermSha256"",""round11CommitSha"",""round9CandidateRegistrySha256"",""version""]"	"[""active"",""argumentRoleRef"",""candidateId"",""clusterHandoffIds"",""contestationStatus"",""directionalityStatus"",""grammarAttestationIds"",""label"",""lexicalAttestationIds"",""observedChainIds"",""pairQuestionIds"",""plainLanguageGlossRef"",""qualificationStatus"",""researchStatus"",""round10NodeRoleDecision"",""round9Decision"",""senseId"",""sourceIds"",""technicalRole"",""vocabularyGapIds""]"	cb19e8ab7137cae957b66711a355061824f33e11040b643d11fa14eb3d60303a
SURF-R12-002	tsv_rows	[]	"[""pair_question_id"",""source_candidate_id"",""source_label"",""target_candidate_id"",""target_label"",""decision"",""grammar_attestation_count"",""distinct_source_count"",""grammar_attestation_ids"",""source_ids"",""directionality_status"",""defer_reason""]"	32b8864678e0255630b26ccfcbdb904b35de585983e4e1373b429f6dc8a29d76
SURF-R12-003	tsv_rows	[]	"[""seed_id"",""seed_kind"",""candidate_sense_ids"",""research_status"",""pair_decision"",""canonical_tree_strategy"",""evidence_refs"",""grammar_attestation_refs"",""unresolved_gap_refs"",""plain_language_research_question"",""historical_claim"",""public_exportable"",""allowed_origin""]"	a89b8a07d9eb3577e98b427824d5d39ad08bd9f5b82620c8f582bb9014872c2a
SURF-R12-004	tsv_rows	[]	"[""instance_id"",""seed_id"",""tree_strategy"",""node_count"",""tree_item_count"",""instance_hash"",""activation_state"",""research_preview_only""]"	c96f0c2f28b0b2c34e40c03632e77514fb010d02336b3cff2ea0b98f6779532d
SURF-R13-001	tsv_rows	[]	"[""source_id"",""authors"",""year"",""title"",""venue"",""publisher"",""doi_or_identifier"",""stable_url"",""language"",""source_type"",""peer_reviewed"",""design_history_usage"",""source_cluster"",""source_metadata_verified""]"	c930efaec2758737bc0f2a3b02fa19830c17b219fbb15070579daf4192f2c4e3
SURF-R13-002	tsv_rows	[]	"[""evidence_id"",""pair_or_gap_id"",""candidate_sense_ids"",""source_id"",""source_type"",""peer_reviewed"",""design_history_usage"",""exact_attested_terms"",""bounded_context"",""locator"",""composition_kind"",""subject_role"",""target_role"",""additional_roles"",""directionality"",""qualification"",""negation"",""contestation"",""same_source_cluster"",""source_metadata_verified"",""evidence_verified"",""semantic_review"",""adversarial_review""]"	93a52ad128e6498f9dfcf295c096b5f0aa18b4e478326e660d1f944d1d8a9299
SURF-R13-003	tsv_rows	[]	"[""pair_id"",""source_candidate_id"",""source_label"",""target_candidate_id"",""target_label"",""final_status"",""evidence_ids"",""independent_composition_attestation_count"",""peer_reviewed_design_history_article_present"",""outside_source_cluster_present"",""explicit_role_mapping"",""directionality"",""natural_language_explanation"",""qualification"",""scope_out"",""semantic_review"",""adversarial_review"",""universal_node_review"",""activation_candidate""]"	81cdc018943722b3af0685f83c1305d6cecf80530bf046fbc585955bb9f8caec
SURF-R13-004	tsv_rows	[]	"[""gap_id"",""gap_name"",""final_decision"",""candidate_ids"",""attested_terms"",""reason"",""scope_out"",""verified""]"	8bc71038a8a6508af05ca0945b9c7a56c20e5da9d41841670ff0cfe087d09a87
