metric,value,gate,notes
candidate_public_surfaces,16175,,Candidate payload only; official payload unchanged.
candidate_active_public_sources,14997,fail,Distinct sourceName values; target=20000.
candidate_release_source_coverage_rate,74.98,fail,"Candidate source-name coverage against 20,000 final target."
candidate_surface_source_visible_rate,98.88,,Surface-level IMG01/IMG02/IMG03.
candidate_surface_verified_open_rate,95.25,,Surface-level IMG03 with rightsReviewed=true.
candidate_object_count,16167,,Object-level grouping; repeated photos/views count once.
candidate_object_source_visible_rate,98.92,fail,Gate target=99%.
candidate_object_verified_open_rate,95.29,pass,Gate target=95%.
candidate_object_weighted_publication_grade_rate,97.26,pass,Object-level max image weight; repeated photos count once.
candidate_object_img04_rate,0.82,pass,Gate max=10%.
candidate_period_surface_balance_rate,100.00,,Average surface fill against period targets.
candidate_region_surface_balance_rate,85.83,,Average surface fill against regional targets.
candidate_strict_distribution_adjusted_source_coverage_rate,74.98,,"min(source coverage, period balance, region balance)."
candidate_2025_2026_surface_rate,1.58,pass,High 2025/2026 share is suspicious and should be audited for date leakage.
candidate_independent_studio_school_platform_2005_2025_count,189,,"Heuristic count for contemporary studios, schools, platforms, festivals, and collectives."
candidate_surface_image_state:IMG00,41,,Surface image state distribution.
candidate_surface_image_state:IMG01,19,,Surface image state distribution.
candidate_surface_image_state:IMG02,569,,Surface image state distribution.
candidate_surface_image_state:IMG03,15406,,Surface image state distribution.
candidate_surface_image_state:IMG04,140,,Surface image state distribution.
