rejection_id	association_subgraph_id	topology_family	decision	reason_code	explanation	round15_adapter_version
R16A-TOPOLOGY-00001	R16A-SUBGRAPH-00B971C7EB5D1624FC80	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00002	R16A-SUBGRAPH-00B971C7EB5D1624FC80	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00003	R16A-SUBGRAPH-00B971C7EB5D1624FC80	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00004	R16A-SUBGRAPH-04642FA41A8BAECE3876	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00005	R16A-SUBGRAPH-04642FA41A8BAECE3876	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00006	R16A-SUBGRAPH-04642FA41A8BAECE3876	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00007	R16A-SUBGRAPH-0A2E4153F4C4551023C1	BINARY_FORK	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00008	R16A-SUBGRAPH-0A2E4153F4C4551023C1	BINARY_CONVERGENCE	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00009	R16A-SUBGRAPH-0A2E4153F4C4551023C1	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00010	R16A-SUBGRAPH-0A2E4153F4C4551023C1	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00011	R16A-SUBGRAPH-0A2E4153F4C4551023C1	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00012	R16A-SUBGRAPH-0CC125369072803F71DE	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00013	R16A-SUBGRAPH-0CC125369072803F71DE	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00014	R16A-SUBGRAPH-0CC125369072803F71DE	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00015	R16A-SUBGRAPH-0F5A2717CE4EFC148031	BINARY_FORK	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00016	R16A-SUBGRAPH-0F5A2717CE4EFC148031	BINARY_CONVERGENCE	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00017	R16A-SUBGRAPH-0F5A2717CE4EFC148031	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00018	R16A-SUBGRAPH-0F5A2717CE4EFC148031	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00019	R16A-SUBGRAPH-0F5A2717CE4EFC148031	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00020	R16A-SUBGRAPH-12C11703DD95F1FBC57B	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00021	R16A-SUBGRAPH-12C11703DD95F1FBC57B	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00022	R16A-SUBGRAPH-12C11703DD95F1FBC57B	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00023	R16A-SUBGRAPH-143FE39FE4134DBCC12B	BINARY_FORK	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00024	R16A-SUBGRAPH-143FE39FE4134DBCC12B	BINARY_CONVERGENCE	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00025	R16A-SUBGRAPH-143FE39FE4134DBCC12B	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00026	R16A-SUBGRAPH-143FE39FE4134DBCC12B	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00027	R16A-SUBGRAPH-143FE39FE4134DBCC12B	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00028	R16A-SUBGRAPH-15EA485255A03C25C5D5	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00029	R16A-SUBGRAPH-15EA485255A03C25C5D5	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00030	R16A-SUBGRAPH-15EA485255A03C25C5D5	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-ENGINE-00031	R16A-SUBGRAPH-19C085F5BC097E4B0674	ROUND15_FROZEN_ADMISSION	PRUNED	TOPOLOGY_DEGREE_BOUND	Qualified association was not admitted because the topology-derived local degree bound was already reached; this is not historical rejection.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00032	R16A-SUBGRAPH-19C085F5BC097E4B0674	LINEAR_PATH	INVALID	NOT_A_CONNECTED_LINEAR_TREE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00033	R16A-SUBGRAPH-19C085F5BC097E4B0674	BINARY_FORK	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00034	R16A-SUBGRAPH-19C085F5BC097E4B0674	BINARY_CONVERGENCE	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00035	R16A-SUBGRAPH-19C085F5BC097E4B0674	QUALIFIED_PATH	INVALID	NO_EXPLICIT_GOVERNED_QUALIFICATION_GATE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00036	R16A-SUBGRAPH-19C085F5BC097E4B0674	REFLEXIVE_RETURN	INVALID	NO_EXPLICIT_GOVERNED_NAVIGATION_RETURN	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00037	R16A-SUBGRAPH-19C085F5BC097E4B0674	EVIDENCE_GAP_TREE	INVALID	NO_EXPLICIT_GOVERNED_EVIDENCE_GAP_NODE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00038	R16A-SUBGRAPH-1AF4D36ADC2F29C8231A	LINEAR_PATH	INVALID	NOT_A_CONNECTED_LINEAR_TREE	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00039	R16A-SUBGRAPH-1AF4D36ADC2F29C8231A	BINARY_FORK	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
R16A-TOPOLOGY-00040	R16A-SUBGRAPH-1AF4D36ADC2F29C8231A	BINARY_CONVERGENCE	INVALID	BINARY_REQUIRES_EXACTLY_THREE_NODES_TWO_EDGES	The strict versioned adapter rejects this topology configuration without changing the frozen Round 15 engine.	trace-round15-full-space-adapter-v2
