sample_id	sample_class	public_reference	period_id	geography_reference	expected_condition	semantic_guard	source_artifact	review_status
SPT-PATH-001	all_mapped_geographies	registry:mapped	ALL	81 governed mapped entries / 84 geometry targets	Every target resolves in the 242-feature pinned geometry.	No renderer-created mapping.	geography-registry.json	PERMANENT
SPT-PATH-002	largest_time_bucket	SPT-PERIOD-1980-1990	SPT-PERIOD-1980-1990	ALL	denominator=1898; mapped=1894; unmapped=4	Interval-overlap denominator remains explicit.	time-buckets.json	PERMANENT
SPT-PATH-003	smallest_time_bucket	SPT-PERIOD-1810-1820	SPT-PERIOD-1810-1820	ALL	denominator=6; mapped=2; unmapped=4	Sparse periods are retained.	time-buckets.json	PERMANENT
SPT-PATH-004	highest_density_cell	SPTGEO:627ad144a3cb31d9f0749b6fae5b6fc7221a2fe88c2cb7fea4178a97d44b1b01	SPT-PERIOD-1980-1990	SPTGEO:627ad144a3cb31d9f0749b6fae5b6fc7221a2fe88c2cb7fea4178a97d44b1b01	record_count=1630	Dots remain synthetic aggregate positions.	period-region-aggregates.json	PERMANENT
SPT-PATH-005	tiny_geometry	geometry:VAT	BENCHMARK	VAT	Density placement falls back to a typed aggregate anchor.	No object coordinate claim.	geometry asset + GIS verifier	PERMANENT
SPT-PATH-006	multipart_geometry	geometry:FJI	BENCHMARK	SPTGEO:1da9fe36cc02a62ab9f0cf9e75bcda631c880e8dede5013e27b73e4190a2cbf8	Whole-geometry candidate pool remains deterministic.	No manual island offset.	geometry asset + GIS benchmark	PERMANENT
SPT-PATH-007	broad_aggregate_only	SPTGEO:eeb9639cd23888a9604e7dd1615f50181e69dbef72fbc0efd02c7ea29ba956a3	ALL	SPTGEO:eeb9639cd23888a9604e7dd1615f50181e69dbef72fbc0efd02c7ea29ba956a3	Visible in counts with no map point.	No silent world centroid.	geography-registry.json	PERMANENT
SPT-PATH-008	unmapped_geometry	SPTGEO:5a8be824027bd87c00d7cdbbe910b38a8e53efa687bcca5f4384ead5d035d541	ALL	SPTGEO:5a8be824027bd87c00d7cdbbe910b38a8e53efa687bcca5f4384ead5d035d541	Visible in unmapped counts.	No parent-polity or invented point substitution.	geography-registry.json	PERMANENT
SPT-PATH-009	historical_or_unresolved_absence	registry:historical-or-unresolved	ALL	NONE	historical_status=true count=0; unresolved class count=0	Absence is asserted, not silently normalized.	geography-registry.json	PERMANENT
SPT-PATH-010	explicit_multi_geometry	SPTGEO:38b90fc6afc90269586919bdf81cf0a84109a64b1fabb4efe98b105bf187a824	ALL	CHN|HKG	One governed aggregate resolves to two explicit geometries.	No normalization to one polity; no duplicated record units.	geography-registry.json	PERMANENT
SPT-PATH-011	multi_region_object	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	SPT-PERIOD-1860-1870|SPT-PERIOD-1870-1880|SPT-PERIOD-1880-1890|SPT-PERIOD-1890-1900	SPTGEO:858c03ee8dc67cb3815308c2a70d2a8076ce7c65fbdd89e183c3c449ec2454ad|SPTGEO:627ad144a3cb31d9f0749b6fae5b6fc7221a2fe88c2cb7fea4178a97d44b1b01	Exactly one public object has two governed geography assignments.	Each geography assignment remains explicit.	record-index.json	PERMANENT
SPT-PATH-012	range_date	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	SPT-PERIOD-1860-1870|SPT-PERIOD-1870-1880|SPT-PERIOD-1880-1890|SPT-PERIOD-1890-1900	SPTGEO:858c03ee8dc67cb3815308c2a70d2a8076ce7c65fbdd89e183c3c449ec2454ad|SPTGEO:627ad144a3cb31d9f0749b6fae5b6fc7221a2fe88c2cb7fea4178a97d44b1b01	Range contributes to every overlapping decade.	Precision remains range.	record-index.json	PERMANENT
SPT-PATH-013	approximate_date	SURF-CHWCONTEMP2026V1R0016	SPT-PERIOD-1990-2000	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	Approximate display and extent are retained.	Not promoted to exact year.	record-index.json	PERMANENT
SPT-PATH-014	day_date	SURF-CHWCONTEMP2026V1R0019	SPT-PERIOD-1990-2000	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	Day precision is preserved in aggregate breakdown.	No precision collapse.	record-index.json	PERMANENT
SPT-PATH-015	month_date	SURF-HISTORICALAICTRACE2026V1R0026	SPT-PERIOD-1890-1900	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	Month precision is preserved in aggregate breakdown.	No precision collapse.	record-index.json	PERMANENT
SPT-PATH-016	earliest_date	SURF-VAM20K-00002	SPT-PERIOD-1800-1810	SPTGEO:627ad144a3cb31d9f0749b6fae5b6fc7221a2fe88c2cb7fea4178a97d44b1b01	start_year=1800	Earliest governed year remains release-pinned.	record-index.json	PERMANENT
SPT-PATH-017	latest_date	SURF-SPCBTRACE2026V1R0521	SPT-PERIOD-2020-2030	SPTGEO:e945e1fc6af3329a6ad5d6df926d0d0433af60e3264fb9a36ce85cee7b4240af	end_year=2026	Latest governed year remains release-pinned.	record-index.json	PERMANENT
SPT-PATH-018	raw_typed_diagnostic	diagnostic:Mexico-City-to-Mexico	ALL	SPTGEO:3c420e26303316e935ce7757e5f7aafb2ab513325b4c16a811e8b09fc36b4d2c	One raw/typed display discrepancy remains provenance-only.	No city coordinate or second geography is inferred.	governance-policy.json	PERMANENT
