candidate_id	sense_id	candidate_label	research_status	instance_eligible	instance_ids	coverage_decision
REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-004	COVERED_ONCE
REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-001	COVERED_ONCE
REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-001	COVERED_ONCE
REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-002	COVERED_ONCE
REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-002	COVERED_ONCE
REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0023	REL-CAND-0023#SENSE-A	transculturation	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0024	REL-CAND-0024#SENSE-A	cultural mobility	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0025	REL-CAND-0025#SENSE-A	self-exoticization	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-005	COVERED_ONCE
REL-CAND-0026	REL-CAND-0026#SENSE-A	coloniality	DEFERRED_NODE_ROLE_CANDIDATE	false		DEFERRED_EXCLUDED_FROM_TREE
REL-CAND-0032	REL-CAND-0032#SENSE-A	imitation	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-003	COVERED_ONCE
REL-CAND-0033	REL-CAND-0033#SENSE-A	piracy	BOUNDED_NODE_ROLE_CANDIDATE	true	INQUIRY-INSTANCE-003	COVERED_ONCE
