target_rank,target_family,period,priority,desired_records,preferred_source_types,avoid_patterns,rationale
1,current_year_guard,2025-2026,severe_gap,"do not expand by volume; review object dates, research value, and source type before release counting",verified studio/project pages only when they are historically meaningful and object-dated,"current-year padding, access-year records, source-profile spans, event photos, post-2010 stamps",Current/incomplete-year records are not a capture target even when equalized-bin math shows a gap.
2,temporal_gap_capture,1980-1984,severe_gap,"1980s posters, record sleeves, magazine covers, identity systems, political/cultural graphics","museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.466.
3,temporal_gap_capture,2000-2004,severe_gap,"2000-2004 studio/platform projects, early web visual communication, art-school/community posters","museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.503.
4,temporal_gap_capture,1985-1989,severe_gap,"1980s posters, record sleeves, magazine covers, identity systems, political/cultural graphics","museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.506.
5,temporal_gap_capture,1955-1959,severe_gap,"late-1950s/early-1960s institutional posters, book covers, labels, advertising, design-school records","museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.520.
6,temporal_gap_capture,1960-1964,moderate_gap,"late-1950s/early-1960s institutional posters, book covers, labels, advertising, design-school records","museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.603.
7,temporal_gap_capture,1990-1994,moderate_gap,"1990s early web/platform graphics, studio projects, posters, magazines, cultural identity systems","museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.633.
8,temporal_gap_capture,1995-1999,moderate_gap,"1990s early web/platform graphics, studio projects, posters, magazines, cultural identity systems","museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.676.
9,temporal_gap_capture,1945-1949,moderate_gap,targeted object-dated records with explicit source year and source-visible image evidence,"museum/design archive catalogs, art-school repositories, local design platforms, periodical archives, studio/project pages","source-profile spans, access-year-only pages, source-page hero images, post-2010 commemorative stamps",Object-dated records are under expected balance: share=0.737.
10,recent_quality_review,2020-2024,recent_overfull_review,sample-and-clean existing recent records before more volume,"independent studio/project pages, design platforms, art schools, community archives","more broad Commons stamps, event photos, poster-session documentation",Recent totals are high enough; research quality and object status need review.
11,contemporary_studio_depth,2015-2019,high_value_supplement,"independent studio projects, design-platform projects, art-school/community visual communication records with explicit object years","studio case-study pages, design awards with source-visible project pages, school repositories, community archives","single-site repeated captures, event photos, purely commemorative material","2015-2019 primary share is usable, but high-confidence studio depth remains thin."
