rank,macro_region,total_candidates,ok,failed,http_error,p1_adapter_build,p1_text_source_enrichment,p2_retry_manual_verification,p2_discovery_lead_queue,p2_manual_source_review,detected_protocol_count,candidate_p0,candidate_p1,candidate_p2,candidate_p3,priority_score,next_action,image_capture_boundary
1,East Asia,27,19,6,2,6,13,8,0,0,18,12,15,0,0,104,start with text/source enrichment rows; run alternate endpoint review for failed sources,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
2,Global,33,29,1,3,10,14,4,5,0,58,3,14,14,2,85,start with text/source enrichment rows; run alternate endpoint review for failed sources,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
3,Southeast Asia,17,11,4,2,4,4,6,1,2,14,8,9,0,0,84,start with protocol-family adapter rows; run alternate endpoint review for failed sources; keep cultural sensitivity and source relationship review explicit,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
4,Africa,12,9,2,1,2,6,3,1,0,17,10,1,1,0,81,start with text/source enrichment rows; keep cultural sensitivity and source relationship review explicit,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
5,South Asia,11,6,4,1,2,4,5,0,0,15,10,1,0,0,79,start with text/source enrichment rows; run alternate endpoint review for failed sources; keep cultural sensitivity and source relationship review explicit,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
6,MENA,12,8,2,2,2,4,4,0,2,12,10,2,0,0,78,start with text/source enrichment rows; run alternate endpoint review for failed sources; keep cultural sensitivity and source relationship review explicit,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
7,Latin America / Caribbean,9,4,2,3,4,0,5,0,0,5,9,0,0,0,66,start with protocol-family adapter rows; run alternate endpoint review for failed sources,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
8,Latin America,8,6,2,0,4,2,2,0,0,10,2,6,0,0,60,start with protocol-family adapter rows,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
9,Oceania / Indigenous,6,6,0,0,3,2,0,0,1,6,0,6,0,0,53,start with protocol-family adapter rows; keep cultural sensitivity and source relationship review explicit,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
10,Eastern Europe / Central Asia,6,6,0,0,5,1,0,0,0,13,3,3,0,0,50,start with protocol-family adapter rows,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
11,Oceania,3,3,0,0,2,0,0,0,1,3,0,3,0,0,36,start with protocol-family adapter rows,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
12,Eastern Europe,2,2,0,0,0,1,0,1,0,0,0,2,0,0,32,start with text/source enrichment rows,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
13,Europe,1,1,0,0,0,1,0,0,0,4,1,0,0,0,13,start with text/source enrichment rows,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
14,North America,1,1,0,0,1,0,0,0,0,4,0,1,0,0,13,start with protocol-family adapter rows,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights
