vocabulary_candidate_id	vocabulary_id	canonical_label	normalized_label	disposition	status	merge_target_label	merge_target_vocabulary_id	category_ids_json	category_binding_refs_json	bounded_sense	scope_note	ambiguity_note	source_attestations_json	academic_support_json	decision_reason	decision_refs_json	provenance_rounds_json	governed_source_paths_json	universe_hash
R16A-VOCAB-CAND:a0561fd649cdb6baa784055f051bad796ea0afef17fca38219549deeba4e8c1a		access	access	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 9 DEFER_SINGLE_ATTESTATION: One explicitly relational but generic use was verified.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0015""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	adaptation	adaptation	ACTIVE	ACTIVE_USER_VISIBLE			"[""region""]"	"[""R16-COMP-REGION-01""]"	In governed Round 14 design-history evidence, adaptation is used on this bounded basis: A domain-aligned study explicitly presents adaptation and rejection as situated responses.; Two studies explicitly place adaptation within negotiated contact and resistance.. Adaptation is situated agency, not passive transfer.; Alternatives within one contact-zone model, not successive stages.	Adaptation is situated agency, not passive transfer. Alternatives within one contact-zone model, not successive stages.	Adaptation is situated agency, not passive transfer. Alternatives within one contact-zone model, not successive stages.	"[""R14-EVID-013-01"",""R14-EVID-013-02"",""R14-EVID-014-01""]"	"[""COMP-SRC-013"",""COMP-SRC-014""]"	Round 16 records the term as ACTIVE_USER_VISIBLE with a complete academic provenance chain.	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0""]"	"[""ROUND16""]"	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	advertising	advertising	ACTIVE	ACTIVE_USER_VISIBLE			"[""theme""]"	"[""R16-COMP-THEME-03""]"	In the governed Round 16 sources, advertising is bounded as follows: Historical study explicitly situating graphic design and advertising in consumer culture; vocabulary support only.; Scholarly analysis of graphic design and advertising around First Things First; vocabulary support only.	Historical study explicitly situating graphic design and advertising in consumer culture; vocabulary support only. Scholarly analysis of graphic design and advertising around First Things First; vocabulary support only.	Supported by archive/source evidence. Independent scholarly validation pending.	"[""R16-SRC-003:attestation:advertising"",""R16-SRC-004:attestation:advertising""]"	"[""R16-SRC-003"",""R16-SRC-004""]"	Round 16 records the term as ACTIVE_USER_VISIBLE with a complete academic provenance chain.	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185""]"	"[""ROUND16""]"	"[""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json"",""scripts/trace-v49-exploration-real-database/scholarly-source-additions-v1.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:7f9d535b249b8d3bdd7b9cbde8795580a5dc1e82c55805a11ab9b356f338506d		appropriation	appropriation	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 9 DEFER_SEMANTIC_AMBIGUITY: Selective local incorporation and colonial extraction require separate senses and further evidence.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0003""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:c6e4092bcfadce5ed0d0c7c393049131a625c6949b6666c30061e65fe0accb1d		Arts and Crafts	arts and crafts	REJECTED	GOVERNED_REJECTED			[]	[]				[]	[]	Round 14 failed-only calibration control: Temporal contrast and broad design classification do not establish association.	"[""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json#R14-ASSOC-030""]"	"[""ROUND14""]"	"[""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:e4cb3b7ff5a4b3885230474eeeef7d8ac009169af23faa0f7b373933cb664f46		Bauhaus	bauhaus	REJECTED	GOVERNED_REJECTED			[]	[]				[]	[]	Round 14 failed-only calibration control: This obvious negative verifies that corpus fame does not substitute for evidence.	"[""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json#R14-ASSOC-029""]"	"[""ROUND14""]"	"[""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:4c330148565c728f424bc0e41b03fb6b2e15b0bfe817d6c35978324965437e79		Brazilian exposition	brazilian exposition	REJECTED	GOVERNED_REJECTED			[]	[]				[]	[]	Round 14 failed-only calibration control: The evidence provides no contextual bridge.	"[""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json#R14-ASSOC-031""]"	"[""ROUND14""]"	"[""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	canonization	canonization	ACTIVE	ACTIVE_USER_VISIBLE			"[""medium"",""movement""]"	"[""ATT-0007"",""ATT-0008""]"	In design-history scholarship, canonization is used to describe the process by which selected work becomes established as historically exemplary or authoritative.	In scope: historical elevation and normative positioning. Out of scope: the canon as a mere list.	Do not expand beyond the governed scope-out. Confusable terms: canon; professionalization; institutionalization.	"[""ATT-0007"",""ATT-0008"",""GRAM-ATT-003""]"	"[""GRAM-SRC-003"",""SRC-0007"",""SRC-0008""]"	Round 16A promotes the bounded Round 10 node decision PASS_HISTORIOGRAPHIC_POSITION_NODE: The new graphic-design-history chapter provides a bounded historiographic subject, target, and selection mechanism.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0004#SENSE-A""]"	"[""ROUND10"",""ROUND16A"",""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-grammar-round1/02_ROUND9_INPUT_TERM_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/04_NODE_DERIVATION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv"",""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv"",""docs/research/trace-v49-exploration-inquiry-flow-round1/02_RESEARCH_CANDIDATE_FREEZE.json""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:70f1947047c98353bf96a2de497e42d63f247d0fcce230ed83d3c6f201040bc3		circulation	circulation	RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY			[]	[]				[]	[]	Round 9 DEFER_SEMANTIC_AMBIGUITY: Design-element movement and metropolitan circulation are materially different senses.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0002""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:0b3894bb73d6593d2652eaddfec09ecd74c9d66d3028f16f597019dfe2e677f7		collective process	collective process	REJECTED	GOVERNED_REJECTED			[]	[]				[]	[]	Round 9 REJECT_GENERIC_NON_DESIGN_HISTORY_TERM: The phrase is a compositional description, not a stable design-history relation label.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0018""]"	"[""ROUND9""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
