grant_key	principal	principal_kind	record_kind	object_kind	object_schema	object_identity	privilege_or_attribute	expected_effective	actual_effective	actual_direct	grantor	is_grantable	effective_via	default_acl_owner	default_acl_schema	test_id	replay_match	status
PUBLIC|DATABASE_PRIVILEGE|\\N|gda_v49_phase2a_fresh_replay|CONNECT	PUBLIC	PUBLIC	DATABASE_PRIVILEGE	DATABASE	\N	gda_v49_phase2a_fresh_replay	CONNECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DATABASE_PRIVILEGE|\\N|gda_v49_phase2a_fresh_replay|CREATE	PUBLIC	PUBLIC	DATABASE_PRIVILEGE	DATABASE	\N	gda_v49_phase2a_fresh_replay	CREATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DATABASE_PRIVILEGE|\\N|gda_v49_phase2a_fresh_replay|TEMP	PUBLIC	PUBLIC	DATABASE_PRIVILEGE	DATABASE	\N	gda_v49_phase2a_fresh_replay	TEMP	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_ROUTINE|EXECUTE	PUBLIC	PUBLIC	DEFAULT_ACL	ROUTINE	\N	FUTURE_ROUTINE	EXECUTE	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_SEQUENCE|SELECT	PUBLIC	PUBLIC	DEFAULT_ACL	SEQUENCE	\N	FUTURE_SEQUENCE	SELECT	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_SEQUENCE|UPDATE	PUBLIC	PUBLIC	DEFAULT_ACL	SEQUENCE	\N	FUTURE_SEQUENCE	UPDATE	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_SEQUENCE|USAGE	PUBLIC	PUBLIC	DEFAULT_ACL	SEQUENCE	\N	FUTURE_SEQUENCE	USAGE	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TABLE|DELETE	PUBLIC	PUBLIC	DEFAULT_ACL	TABLE	\N	FUTURE_TABLE	DELETE	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TABLE|INSERT	PUBLIC	PUBLIC	DEFAULT_ACL	TABLE	\N	FUTURE_TABLE	INSERT	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TABLE|REFERENCES	PUBLIC	PUBLIC	DEFAULT_ACL	TABLE	\N	FUTURE_TABLE	REFERENCES	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TABLE|SELECT	PUBLIC	PUBLIC	DEFAULT_ACL	TABLE	\N	FUTURE_TABLE	SELECT	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TABLE|TRIGGER	PUBLIC	PUBLIC	DEFAULT_ACL	TABLE	\N	FUTURE_TABLE	TRIGGER	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TABLE|TRUNCATE	PUBLIC	PUBLIC	DEFAULT_ACL	TABLE	\N	FUTURE_TABLE	TRUNCATE	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
PUBLIC|DEFAULT_ACL|\\N|FUTURE_TABLE|UPDATE	PUBLIC	PUBLIC	DEFAULT_ACL	TABLE	\N	FUTURE_TABLE	UPDATE	false	false	false	\N	false	NONE	gda_v49_phase2a_schema_owner	\N	P2A-SEC-ROLE-MATRIX	true	PASS
