target_id,source_name,macro_region,country_or_region,endpoint_type,base_url,post_type,queries,max_records,selection_reason,rights_boundary
NMR001,DesignSingapore Council,Southeast Asia,Singapore,wordpress_rest,https://designsingapore.org,posts,graphic design; typography; identity; publication,4,reachable v2 P1 WordPress source for Southeast Asian design policy and contemporary source text,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR002,Malaysian Design Archive,Southeast Asia,Malaysia,wordpress_rest_custom_type,https://search.malaysiadesignarchive.org,item,poster; typography; print; publication; advertisement,5,priority independent Southeast Asian visual culture archive with item-style source records,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR003,Grafis Nusantara,Southeast Asia,Indonesia,wordpress_rest,https://grafisnusantara.com,posts,label; packaging; poster; typography,4,priority Indonesian graphic archive; source-hosted visual evidence only,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR004,29LT,MENA,MENA,wordpress_rest,https://www.29lt.com,posts,Arabic typography; type design; poster; publication,4,reachable MENA typography source from v2 P1 queue,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR005,Barjeel Art Foundation,MENA,MENA,wordpress_rest,https://www.barjeelartfoundation.org,posts,poster; graphic; publication; archive,4,MENA visual culture source with article/source text enrichment value,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR006,African Digital Heritage,Africa,Africa,wordpress_rest,https://africandigitalheritage.org,posts,graphic; archive; heritage; poster,4,African digital heritage source; source relationship and cultural sensitivity review remains explicit,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR007,GALA Queer Archive,Africa,South Africa,wordpress_rest,https://gala.co.za,posts,poster; archive; activism; publication,4,South African community archive source; source-hosted records only,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR008,Indian Memory Project,South Asia,India,wordpress_rest,https://indianmemoryproject.com,posts,poster; print; visual culture; design,4,South Asian community visual archive; provenance and rights require item-level review,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR009,MAP Academy,South Asia,South Asia,wordpress_rest,https://mapacademy.io,posts,graphic; poster; print; typography,4,South Asian scholarly encyclopedia/context source from v2 P1 queue,source metadata only; no image download; IMG03 only by authoritative item-level rights
NMR010,Diseño Nacional,Latin America,Chile,wordpress_rest,https://www.disenonacional.cl,posts,cartel; afiche; diseño gráfico; tipografía,4,Latin American graphic archive with source text and source-hosted display evidence,source metadata only; no image download; IMG03 only by authoritative item-level rights
