source_id,source_name,macro_region,country_or_region,endpoint_type,targeted_queries,captured_records,failure_count,image_states,impact_ratings,notes
NMR001,DesignSingapore Council,Southeast Asia,Singapore,wordpress_rest,graphic design; typography; identity; publication,0,0,,,reachable v2 P1 WordPress source for Southeast Asian design policy and contemporary source text
NMR002,Malaysian Design Archive,Southeast Asia,Malaysia,wordpress_rest_custom_type,poster; typography; print; publication; advertisement,5,0,IMG04:5,A:2; B:3,priority independent Southeast Asian visual culture archive with item-style source records
NMR003,Grafis Nusantara,Southeast Asia,Indonesia,wordpress_rest,label; packaging; poster; typography,0,0,,,priority Indonesian graphic archive; source-hosted visual evidence only
NMR004,29LT,MENA,MENA,wordpress_rest,Arabic typography; type design; poster; publication,0,0,,,reachable MENA typography source from v2 P1 queue
NMR005,Barjeel Art Foundation,MENA,MENA,wordpress_rest,poster; graphic; publication; archive,4,0,IMG02:4,A:3; B:1,MENA visual culture source with article/source text enrichment value
NMR006,African Digital Heritage,Africa,Africa,wordpress_rest,graphic; archive; heritage; poster,4,0,IMG02:4,A:3; B:1,African digital heritage source; source relationship and cultural sensitivity review remains explicit
NMR007,GALA Queer Archive,Africa,South Africa,wordpress_rest,poster; archive; activism; publication,4,0,IMG02:3; IMG04:1,A:3; B:1,South African community archive source; source-hosted records only
NMR008,Indian Memory Project,South Asia,India,wordpress_rest,poster; print; visual culture; design,4,0,IMG02:4,A:4,South Asian community visual archive; provenance and rights require item-level review
NMR009,MAP Academy,South Asia,South Asia,wordpress_rest,graphic; poster; print; typography,0,4,,,South Asian scholarly encyclopedia/context source from v2 P1 queue
NMR010,Diseño Nacional,Latin America,Chile,wordpress_rest,cartel; afiche; diseño gráfico; tipografía,0,0,,,Latin American graphic archive with source text and source-hosted display evidence
