trigger_id	trigger_name	trigger_condition	generation_rule	coverage_proof	external_search_required
TRG-001	EXPLICIT_NARY_GRAMMAR	A governed role/grammar record declares 3, 3+, MULTIPARTY, STRUCTURAL, or unresolved 2+ participation.	Review the locator-bearing source to identify exact governed participant senses; never treat the relation label or role prose as an automatic member list.	Every qualifying grammar record is accounted for by a candidate, an evidence-insufficient review record, or a structural-not-association exclusion.	false
TRG-002	SAME_LOCATOR_MULTI_CONCEPT	One locator-bearing evidence record or bounded locus identifies at least three governed senses in one passage, section, figure, case description, or argument unit.	Create the exact maximal locus-bound set, then review meaningful nested sets only when the source makes a distinct configuration claim.	Every multi-sense locus is linked to at least one reviewed candidate or a co-occurrence/concept-only exclusion.	false
TRG-003	SHARED_CASE_SOURCE_BUNDLE	Two or more evidence records share an explicitly identified case plus compatible time, geography, institution, actor set, and mechanism.	Document every synthesis edge and scope equality; publisher, author, keyword, or source family alone is insufficient.	Every admitted bundle has a case identity, compatibility decision, source list, locators, and synthesis ledger.	false
TRG-004	PRIOR_PRODUCT_OR_COMPOSITION	A Round 12–16A inquiry, fixture, legacy composition, subgraph, topology composition, workflow, or export contains at least three concepts.	Generate one reconciliation candidate per distinct semantic node/association set, retaining all prior identifiers and outcomes.	Every prior three-plus-node structure receives an explicit retained/corrected/hyperedge/split/merged/inquiry/rejected reconciliation.	false
TRG-005	ISOLATED_ACTIVE_VOCABULARY	An active vocabulary concept has no active pair path or no product-visible composition path.	Search local bounded evidence and legitimate external discovery for exact co-participating senses; otherwise reclassify or record a non-product policy.	Every isolated active term has an association candidate or an explicit reviewed vocabulary/product disposition.	false
TRG-006	RESEARCH_ONLY_BOUNDED_SENSE	A research-only or deferred concept has a bounded sense and a source locus suggesting multi-concept participation.	Retain inquiry status until group evidence and authority are complete; unresolved umbrella labels do not qualify.	Every triggered bounded research-only sense is reviewed without silently promoting it to active.	false
TRG-007	NEGATIVE_OR_NEAR_MISS_CONTROL	A prior cluster, chain, hard negative, co-occurrence control, split/prune fixture, unsupported bridge, or conflict record bears on group validity.	Generate the exact control structure with its expected failure or inquiry condition.	All governed negative-control classes are represented in the candidate and independent-verifier fixtures.	false
TRG-008	OVERLAP_AND_RECONCILIATION	Two candidate associations overlap, nest, conflict, or map differently to one or more prior product compositions.	Review whether they are distinct scopes, duplicates, a required split/merge, or incompatible structures.	Every overlap has an explicit identity, scope, and reconciliation decision.	false
TRG-009	DATABASE_PROVENANCE_DISCOVERY	Archive objects, source documents, TRACE nodes/edges, or provenance records identify a bounded common case or source family involving at least three exact concepts.	Use database records only to locate reviewable sources; categories, similarity, and co-occurrence never count as association evidence.	Every database-triggered candidate records the query and remains non-active until locator-bearing scholarly evidence is reviewed.	false
TRG-010	ADAPTIVE_EXTERNAL_SEARCH	Local evidence leaves a triggered group unresolved or gap review identifies a plausible omitted historical configuration.	Search the complete group, meaningful subsets, variants, case, institution, period, geography, actors, mechanisms, citations, and falsification terms; record every query and decision.	Every external result is linked to a stable reviewable locator or classified metadata-only/access-blocked/rejected.	true
TRG-011	COUNTEREVIDENCE_AND_FALSIFICATION	A proposed active or product-visible group has scope, role, topology, case-compatibility, or bounded-sense assumptions that can be challenged.	Run candidate-specific counterexample and incompatibility searches before final disposition.	Every active disposition has a completed counterevidence field and no unresolved hard conflict.	true
TRG-012	RECURSIVE_GAP_DISCOVERY	A fresh pre-closure audit finds an unrepresented arity, source pattern, structural class, product path, exclusion proof, or verifier assumption.	Append the gap, expand method/model/artifacts/tests, regenerate affected ledgers, and create a new verified checkpoint.	Closure requires a final gap audit with zero unresolved closure-blocking gaps and explicit audit coverage.	true
