rule_id	precedence	takedown_effective_state	rights_assessment_state	provider_policy_evaluation_state	attribution_bundle_state	endpoint_health_condition	qualified_locator_set	effective_delivery_mode	canonical_record_locator	source_viewer_locator	remote_pixel_locator	thumbnail_locator	image_service_locator	reason_code	rationale
RD-001	1	ACTIVE_BLOCK_ALL	ANY	ANY	ANY	ANY	ANY	BLOCKED	OMIT	OMIT	OMIT	OMIT	OMIT	ACTIVE_TAKEDOWN_BLOCK	An active block-all takedown is the highest-precedence monotonic restriction.
RD-002	2	ACTIVE_CITATION_ONLY	ANY	ANY	ANY	ANY	ANY	CITATION_ONLY	OMIT	OMIT	OMIT	OMIT	OMIT	ACTIVE_TAKEDOWN_CITATION_ONLY	The scoped takedown permits citation metadata only and suppresses every external locator.
RD-010	10	IN[NONE|SUPERSEDED]	IN[DENIED|RESTRICTED_CITATION_ONLY|CITATION_ONLY]	ANY	ANY	ANY	ANY	CITATION_ONLY	OMIT	OMIT	OMIT	OMIT	OMIT	RIGHTS_PROHIBIT_LOCATOR	Rights evidence does not permit a public external locator.
RD-011	11	IN[NONE|SUPERSEDED]	ANY	PUBLIC_LINK_DISALLOWED	ANY	ANY	ANY	CITATION_ONLY	OMIT	OMIT	OMIT	OMIT	OMIT	POLICY_PROHIBITS_PUBLIC_LOCATOR	Provider policy is independently more restrictive than the rights assessment.
RD-020	20	IN[NONE|SUPERSEDED]	IN[UNKNOWN|MISSING|CONFLICT|STALE]	IN[LINK_ALLOWED|SOURCE_VIEWER_ONLY|REMOTE_DISPLAY_ALLOWED|EMBED_DISALLOWED]	ANY	CANONICAL_RECORD_HEALTHY_FRESH	CANONICAL_RECORD	LINK_ONLY	ALLOWLISTED_ONLY	OMIT	OMIT	OMIT	OMIT	RIGHTS_FAIL_CLOSED_LINK	Unknown or incomplete rights may expose only an independently allowlisted healthy canonical record link.
RD-021	21	IN[NONE|SUPERSEDED]	IN[UNKNOWN|MISSING|CONFLICT|STALE]	ANY	ANY	NO_QUALIFIED_CANONICAL_RECORD	NONE	CITATION_ONLY	OMIT	OMIT	OMIT	OMIT	OMIT	RIGHTS_FAIL_CLOSED_CITATION	Unknown or incomplete rights with no qualified canonical link remain citation only.
RD-030	30	IN[NONE|SUPERSEDED]	ANY	IN[UNKNOWN|MISSING|CONFLICT|STALE]	ANY	ANY	ANY	CITATION_ONLY	OMIT	OMIT	OMIT	OMIT	OMIT	POLICY_FAIL_CLOSED_CITATION	Unknown or incomplete provider policy cannot authorize any external locator.
RD-040	40	IN[NONE|SUPERSEDED]	IN[LINK_ONLY_PERMITTED|RESTRICTED_LINK_ONLY]	IN[LINK_ALLOWED|SOURCE_VIEWER_ONLY|REMOTE_DISPLAY_ALLOWED|EMBED_DISALLOWED]	ANY	CANONICAL_RECORD_HEALTHY_FRESH	CANONICAL_RECORD	LINK_ONLY	ALLOWLISTED_ONLY	OMIT	OMIT	OMIT	OMIT	RIGHTS_CAP_LINK_ONLY	The rights assessment caps delivery at an allowlisted canonical record link.
RD-041	41	IN[NONE|SUPERSEDED]	IN[LINK_ONLY_PERMITTED|RESTRICTED_LINK_ONLY]	ANY	ANY	NO_QUALIFIED_CANONICAL_RECORD	NONE	CITATION_ONLY	OMIT	OMIT	OMIT	OMIT	OMIT	LINK_ENDPOINT_UNQUALIFIED	An unavailable or stale canonical link lowers delivery to citation only.
RD-050	50	IN[NONE|SUPERSEDED]	REMOTE_DISPLAY_PERMITTED	SOURCE_VIEWER_ONLY	ANY	SOURCE_VIEWER_HEALTHY_FRESH	IN[SOURCE_VIEWER|SOURCE_VIEWER+CANONICAL_RECORD]	SOURCE_VIEWER	ALLOWLISTED_ONLY	ALLOWLISTED_ONLY	OMIT	OMIT	OMIT	POLICY_CAP_SOURCE_VIEWER	Provider policy disallows pixel embedding but permits an allowlisted healthy source viewer.
RD-051	51	IN[NONE|SUPERSEDED]	REMOTE_DISPLAY_PERMITTED	SOURCE_VIEWER_ONLY	ANY	SOURCE_VIEWER_UNQUALIFIED_CANONICAL_RECORD_HEALTHY_FRESH	CANONICAL_RECORD	LINK_ONLY	ALLOWLISTED_ONLY	OMIT	OMIT	OMIT	OMIT	VIEWER_ENDPOINT_DOWNGRADE_LINK	An unhealthy viewer can only lower delivery to a separately qualified canonical link.
