candidate_id	sense_id	candidate_label	round9_lexical_attestation_ids	round9_gloss_registry_row	round9_handoff_row	new_grammar_source_ids	new_grammar_attestation_ids	node_role_decision	all_provenance_links_verified	orphan
REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	ATT-0001;ATT-0002	REL-CAND-0001	REL-CAND-0001	GRAM-SRC-001;GRAM-SRC-002	GRAM-ATT-001;GRAM-ATT-002	DEFER_TOO_BROAD	true	false
REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	ATT-0007;ATT-0008	REL-CAND-0004	REL-CAND-0004	GRAM-SRC-003	GRAM-ATT-003	PASS_HISTORIOGRAPHIC_POSITION_NODE	true	false
REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	ATT-0009;ATT-0010	REL-CAND-0005	REL-CAND-0005	GRAM-SRC-004;GRAM-SRC-005;GRAM-SRC-007	GRAM-ATT-004;GRAM-ATT-005;GRAM-ATT-008;GRAM-ATT-026	PASS_FLOW_ELIGIBLE_NODE	true	false
REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	ATT-0011;ATT-0012	REL-CAND-0006	REL-CAND-0006	GRAM-SRC-005;GRAM-SRC-006	GRAM-ATT-006;GRAM-ATT-007	PASS_FLOW_ELIGIBLE_NODE	true	false
REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	ATT-0013;ATT-0014	REL-CAND-0007	REL-CAND-0007	GRAM-SRC-008	GRAM-ATT-009	DEFER_HIGH_CONNECTIVITY	true	false
REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	ATT-0015;ATT-0016	REL-CAND-0008	REL-CAND-0008	GRAM-SRC-010;GRAM-SRC-011;GRAM-SRC-012	GRAM-ATT-011;GRAM-ATT-012;GRAM-ATT-013	DEFER_SPLIT_REQUIRED	true	false
REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	ATT-0017;ATT-0018	REL-CAND-0009	REL-CAND-0009	GRAM-SRC-009	GRAM-ATT-010	DEFER_HIGH_CONNECTIVITY	true	false
REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	ATT-0019;ATT-0020	REL-CAND-0010	REL-CAND-0010	GRAM-SRC-013;GRAM-SRC-014	GRAM-ATT-014;GRAM-ATT-015	PASS_FLOW_ELIGIBLE_NODE	true	false
REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	ATT-0021;ATT-0022	REL-CAND-0011	REL-CAND-0011	GRAM-SRC-015	GRAM-ATT-016;GRAM-ATT-027	PASS_FLOW_ELIGIBLE_NODE	true	false
REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	ATT-0023;ATT-0024	REL-CAND-0012	REL-CAND-0012	GRAM-SRC-016	GRAM-ATT-017	DEFER_SPLIT_REQUIRED	true	false
REL-CAND-0023	REL-CAND-0023#SENSE-A	transculturation	ATT-0036;ATT-0037	REL-CAND-0023	REL-CAND-0023	GRAM-SRC-017	GRAM-ATT-018	DEFER_TOO_BROAD	true	false
REL-CAND-0024	REL-CAND-0024#SENSE-A	cultural mobility	ATT-0038;ATT-0039	REL-CAND-0024	REL-CAND-0024	GRAM-SRC-018	GRAM-ATT-019	DEFER_SPLIT_REQUIRED	true	false
REL-CAND-0025	REL-CAND-0025#SENSE-A	self-exoticization	ATT-0040;ATT-0041	REL-CAND-0025	REL-CAND-0025	GRAM-SRC-019	GRAM-ATT-020	PASS_REFLEXIVE_NODE	true	false
REL-CAND-0026	REL-CAND-0026#SENSE-A	coloniality	ATT-0042;ATT-0043	REL-CAND-0026	REL-CAND-0026	GRAM-SRC-020	GRAM-ATT-021	DEFER_HIGH_CONNECTIVITY	true	false
REL-CAND-0032	REL-CAND-0032#SENSE-A	imitation	ATT-0052;ATT-0053	REL-CAND-0032	REL-CAND-0032	GRAM-SRC-021;GRAM-SRC-022	GRAM-ATT-022;GRAM-ATT-023;GRAM-ATT-029	PASS_FLOW_ELIGIBLE_NODE	true	false
REL-CAND-0033	REL-CAND-0033#SENSE-A	piracy	ATT-0054;ATT-0055	REL-CAND-0033	REL-CAND-0033	GRAM-SRC-023;GRAM-SRC-024	GRAM-ATT-024;GRAM-ATT-025;GRAM-ATT-028;GRAM-ATT-030	PASS_NORMATIVE_RELATION_NODE	true	false
