metric,value,count,notes
candidate_sources_from_wikidata,all,2600,New candidate official source sites after existing-source dedupe.
successful_new_sources_available,all,1065,Official source URLs that returned successful source metadata.
successful_new_sources_selected,all,1000,Balanced non-mainstream source successes written to the registry.
macro_region_distribution,Eastern Europe / Caucasus,342,Selected successful source registry rows.
macro_region_distribution,Latin America / Caribbean,231,Selected successful source registry rows.
macro_region_distribution,Africa,198,Selected successful source registry rows.
macro_region_distribution,Southeast Asia,80,Selected successful source registry rows.
macro_region_distribution,MENA,77,Selected successful source registry rows.
macro_region_distribution,South Asia,41,Selected successful source registry rows.
macro_region_distribution,Central Asia,20,Selected successful source registry rows.
macro_region_distribution,East Asia,10,Selected successful source registry rows.
macro_region_distribution,Oceania / Indigenous,1,Selected successful source registry rows.
source_class_distribution,museum,507,Selected successful source registry rows.
source_class_distribution,library,301,Selected successful source registry rows.
source_class_distribution,cultural center,105,Selected successful source registry rows.
source_class_distribution,archives,55,Selected successful source registry rows.
source_class_distribution,art gallery,31,Selected successful source registry rows.
source_class_distribution,art museum,1,Selected successful source registry rows.
protocol_distribution,(none detected),283,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST,182,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST,80,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom,57,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App,37,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;PDF,32,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App,32,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD,28,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD,28,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;PDF,27,Detected protocol hints only; not rights clearance.
protocol_distribution,PDF,24,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST,23,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App,22,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;PDF,16,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD,12,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF,11,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,9,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;Static JS App,9,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;Static JS App,8,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;Static JS App,7,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;WordPress REST,7,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;Static JS App,7,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST,6,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App;PDF,5,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;PDF,5,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;PDF,5,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;PDF,5,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom,4,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App;PDF,3,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST;Static JS App,3,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;WordPress REST;Static JS App,3,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;Static JS App,2,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;PDF,2,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST;PDF,2,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD,2,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;JSON-LD,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,Omeka;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;WordPress REST,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,Omeka,1,Detected protocol hints only; not rights clearance.
next_item_capture_priority,P1 item/source adapter,595,Internal triage for later item/image capture.
next_item_capture_priority,P1 manual item capture,201,Internal triage for later item/image capture.
next_item_capture_priority,P2 source enrichment,141,Internal triage for later item/image capture.
next_item_capture_priority,P0 item/image adapter,63,Internal triage for later item/image capture.
