candidate_id	sense_id	candidate_label	research_status	instance_eligible	lexical_attestation_count	grammar_attestation_count	direct_attestation_count	distinct_source_count	distinct_author_count	distinct_venue_count	distinct_source_language_count	peer_reviewed_source_count	book_chapter_source_count	source_concentration	same_issue_concentration	same_author_group_concentration	contestation_status	evidence_gap_count	pair_question_ids	standalone_inquiry	source_ids	lexical_attestation_ids	grammar_attestation_ids
REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	DEFERRED_NODE_ROLE_CANDIDATE	false	2	2	4	4	4	2	2	4	0	0.250	0.250	0.250	UNCONTESTED_IN_REVIEWED_CORPUS	1		false	GRAM-SRC-001;GRAM-SRC-002;SRC-0001;SRC-0002	ATT-0001;ATT-0002	GRAM-ATT-001;GRAM-ATT-002
REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	BOUNDED_NODE_ROLE_CANDIDATE	true	2	1	3	3	3	3	1	2	1	0.333	0.333	0.333	CONTESTED	0		true	GRAM-SRC-003;SRC-0007;SRC-0008	ATT-0007;ATT-0008	GRAM-ATT-003
REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	BOUNDED_NODE_ROLE_CANDIDATE	true	2	4	6	6	5	6	1	4	1	0.167	0.167	0.333	HISTORICALLY_SHIFTING	0	GRAM-RULE-001	false	GRAM-SRC-004;GRAM-SRC-005;GRAM-SRC-007;GRAM-SRC-025;SRC-0009;SRC-0010	ATT-0009;ATT-0010	GRAM-ATT-004;GRAM-ATT-005;GRAM-ATT-008;GRAM-ATT-026
REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	BOUNDED_NODE_ROLE_CANDIDATE	true	2	2	4	4	4	3	1	4	0	0.250	0.250	0.250	HISTORICALLY_SHIFTING	0	GRAM-RULE-001	false	GRAM-SRC-005;GRAM-SRC-006;SRC-0011;SRC-0012	ATT-0011;ATT-0012	GRAM-ATT-006;GRAM-ATT-007
REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	DEFERRED_NODE_ROLE_CANDIDATE	false	2	1	3	3	3	2	1	2	1	0.333	0.333	0.333	CONTESTED	1		false	GRAM-SRC-008;SRC-0011;SRC-0013	ATT-0013;ATT-0014	GRAM-ATT-009
REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	DEFERRED_NODE_ROLE_CANDIDATE	false	2	3	5	5	5	5	1	4	1	0.200	0.200	0.200	CONTESTED	1		false	GRAM-SRC-010;GRAM-SRC-011;GRAM-SRC-012;SRC-0014;SRC-0015	ATT-0015;ATT-0016	GRAM-ATT-011;GRAM-ATT-012;GRAM-ATT-013
REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	DEFERRED_NODE_ROLE_CANDIDATE	false	2	1	3	3	3	2	1	3	0	0.333	0.667	0.333	CONTESTED	1		false	GRAM-SRC-009;SRC-0005;SRC-0016	ATT-0017;ATT-0018	GRAM-ATT-010
REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	BOUNDED_NODE_ROLE_CANDIDATE	true	2	2	4	4	4	3	1	4	0	0.250	0.250	0.250	CONTESTED	0	GRAM-RULE-002	false	GRAM-SRC-013;GRAM-SRC-014;SRC-0006;SRC-0017	ATT-0019;ATT-0020	GRAM-ATT-014;GRAM-ATT-015
REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	BOUNDED_NODE_ROLE_CANDIDATE	true	2	2	4	4	4	3	1	4	0	0.250	0.250	0.250	CONTESTED	0	GRAM-RULE-002	false	GRAM-SRC-015;GRAM-SRC-026;SRC-0017;SRC-0018	ATT-0021;ATT-0022	GRAM-ATT-016;GRAM-ATT-027
REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	DEFERRED_NODE_ROLE_CANDIDATE	false	2	1	3	3	2	2	1	2	1	0.333	0.667	0.667	POLYSEMOUS	1		false	GRAM-SRC-016;SRC-0020;SRC-0021	ATT-0023;ATT-0024	GRAM-ATT-017
REL-CAND-0023	REL-CAND-0023#SENSE-A	transculturation	DEFERRED_NODE_ROLE_CANDIDATE	false	2	1	3	3	3	3	1	2	1	0.333	0.333	0.333	CONTESTED	0		false	GRAM-SRC-017;SRC-0031;SRC-0032	ATT-0036;ATT-0037	GRAM-ATT-018
REL-CAND-0024	REL-CAND-0024#SENSE-A	cultural mobility	DEFERRED_NODE_ROLE_CANDIDATE	false	2	1	3	3	3	3	1	1	2	0.333	0.333	0.333	POLYSEMOUS	1		false	GRAM-SRC-018;SRC-0035;SRC-0036	ATT-0038;ATT-0039	GRAM-ATT-019
REL-CAND-0025	REL-CAND-0025#SENSE-A	self-exoticization	BOUNDED_NODE_ROLE_CANDIDATE	true	2	1	3	3	3	2	1	3	0	0.333	0.333	0.333	CONTESTED	0		true	GRAM-SRC-019;SRC-0033;SRC-0037	ATT-0040;ATT-0041	GRAM-ATT-020
REL-CAND-0026	REL-CAND-0026#SENSE-A	coloniality	DEFERRED_NODE_ROLE_CANDIDATE	false	2	1	3	3	3	3	2	2	0	0.333	0.333	0.333	CONTESTED	1		false	GRAM-SRC-020;SRC-0038;SRC-0039	ATT-0042;ATT-0043	GRAM-ATT-021
REL-CAND-0032	REL-CAND-0032#SENSE-A	imitation	BOUNDED_NODE_ROLE_CANDIDATE	true	2	3	5	5	5	4	2	4	1	0.200	0.200	0.200	HISTORICALLY_SHIFTING	0	GRAM-RULE-003	false	GRAM-SRC-021;GRAM-SRC-022;GRAM-SRC-028;SRC-0048;SRC-0049	ATT-0052;ATT-0053	GRAM-ATT-022;GRAM-ATT-023;GRAM-ATT-029
