source_id,name,url,source_type,access_method,api_base_or_endpoint,iiif_support,oai_pmh_support,dataset_support,geo_coverage,historical_coverage,graphic_design_relevance,likely_record_types,rights_summary,rights_uri_support,metadata_quality_estimate,stable_identifiers,automated_ingestion,link_only_safer,priority,notes,last_verified_date,automation_status,rights_basis,record_level_rights_required,default_image_zone,preview_allowed,thumbnail_allowed,iiif_capable,api_key_required,protocol_sensitive
SRC001,The Met Open Access,https://www.metmuseum.org/hubs/open-access,museum collection,API + CSV,https://www.metmuseum.org/hubs/open-access,unknown,unknown,unknown,global,broad historical span,"high for posters, prints, books, decorative arts",objects; images,API exposes CC0 Open Access images and data for designated public-domain records.,yes,High,yes,Yes,No for OA records,Launch,Use only explicit Open Access records for images.,2026-05-29,,,,,,,,,
SRC002,Cooper Hewitt API,https://apidocs.cooperhewitt.org/,design museum,API + open data,https://apidocs.cooperhewitt.org/,unknown,unknown,unknown,global,30 centuries of design,very high,objects; people; tags,Collection data excluding images released under CC0; images require separate care.,partial,High,yes,Yes,Yes for images,Launch,Strong design-specific metadata source.,2026-05-29,,,,,,,,,
SRC003,Smithsonian Open Access,https://www.si.edu/openaccess,museum/archive aggregate,API + GitHub + search,https://www.si.edu/openaccess,unknown,unknown,unknown,U.S.; global holdings,broad,high,objects; media; 2D/3D assets,CC0 for OA assets; non-CC0 items remain restricted.,yes,High,yes,Yes,Mixed,Launch,Good for low-risk open image examples.,2026-05-29,,,,,,,,,
SRC004,Rijksmuseum Data Services,https://data.rijksmuseum.nl/,museum + library + vocabularies,Search API + OAI-PMH + IIIF + dumps + SRU,https://data.rijksmuseum.nl/,unknown,unknown,unknown,Netherlands; Europe,early modern-present,"very high for books, prints, posters, design context",objects; library records; vocabularies,Open data policy; restrictions signaled when applicable.,yes,Very high,yes,Yes,No for openly licensed records,Launch,Excellent machine-readable source.,2026-05-29,,,,,,,,,
SRC005,V&A Collections API,https://developers.vam.ac.uk/guide/v2/,museum collection,API,https://developers.vam.ac.uk/guide/v2/,unknown,unknown,unknown,UK; global,broad art/design/archives/library,very high,objects; images; archives metadata,Collection data and images available; object-level rights vary.,partial,High,yes,Yes,Yes for images,Launch,Keep image policy conservative.,2026-05-29,,,,,,,,,
SRC006,Library of Congress loc.gov API,https://www.loc.gov/apis/,national library,API + JSON/YAML + IIIF microservices,https://www.loc.gov/apis/,unknown,unknown,unknown,U.S.; global,broad,"very high for prints, posters, books, periodicals",collection items; authorities; images; text,Structured access; rights vary by collection.,mixed,High,yes,Yes,Mixed,Launch,Pair with LoC rights notes.,2026-05-29,,,,,,,,,
SRC007,Chronicling America,https://www.loc.gov/collections/chronicling-america/,newspaper archive,loc.gov API + datasets + IIIF text/image services,https://www.loc.gov/collections/chronicling-america/,unknown,unknown,unknown,U.S.,newspapers through 1963,"very high for advertising, editorial design, public graphics",titles; pages; OCR text,"Materials public domain or no known restrictions, with caution for later third-party materials.",mixed,High,yes,Yes,Often no,Launch,Useful for search/word frequency experiments.,2026-05-29,,,,,,,,,
SRC008,Europeana API,https://api.europeana.eu/,cultural-heritage aggregator,API,https://api.europeana.eu/,unknown,unknown,unknown,Europe,broad,very high for cross-border discovery,EDM records; previews; provider links,API metadata CC0; linked objects follow their own rights statements.,yes,High,yes,Yes,Yes for partner objects,Launch,"Use as discovery layer, not image source by default.",2026-05-29,,,,,,,,,
SRC009,DPLA,https://dp.la/,cultural-heritage aggregator,API + MAP docs,https://dp.la/,unknown,unknown,unknown,U.S.,broad,high for distributed discovery,items; providers; views,Source/web-resource separation; rights fields for source and preview objects.,mixed,High,yes,Yes,Yes for linked objects,Launch,Good metadata model precedent.,2026-05-29,,,,,,,,,
SRC010,Trove,https://trove.nla.gov.au/,national aggregator,API + bulk download + search,https://trove.nla.gov.au/,unknown,unknown,unknown,Australia,"broad; newspapers, magazines, web archive discovery",very high,records; newspaper full text; organizations; titles,API key required; metadata/text available; archived websites excluded from API.,mixed,High,yes,Yes,Mixed,Launch,Useful for Australian dimension.,2026-05-29,,,,,,,,,
SRC011,DigitalNZ,https://digitalnz.org/developers,national aggregator,API,https://digitalnz.org/developers,unknown,unknown,unknown,Aotearoa New Zealand,broad,high for distributed design ephemera,metadata records; pointers; thumbnails,Aggregates metadata and links/thumbnails to partner items; rights vary by partner.,mixed,High,yes,Yes,Usually yes,Launch,Good aggregator pattern.,2026-05-29,,,,,,,,,
SRC012,MoMA Collection,https://www.moma.org/collection/,museum collection,search interface,https://www.moma.org/collection/,unknown,unknown,unknown,U.S.; international modern/contemporary,modern-contemporary,very high,artworks; artists; classifications,Rich metadata; rights vary strongly by work.,partial,High,yes,No,Yes,Launch,Manual/link-first; do not scrape images.,2026-05-29,,,,,,,,,
SRC013,Cary Graphic Design Archive,https://www.rit.edu/carycollection/graphic-design-archive,university special collection,manual,https://www.rit.edu/carycollection/graphic-design-archive,unknown,unknown,unknown,U.S.,especially 1920s-1960s,very high,designer archives; posters; publications,Research access; image copying manual-review only.,unknown,High,yes,No,Yes,Launch,"Design-history depth, link-first.",2026-05-29,,,,,,,,,
SRC014,Vignelli Center for Design Studies,https://www.rit.edu/vignellicenter/,university design archive,manual,https://www.rit.edu/vignellicenter/,unknown,unknown,unknown,U.S.; international,20th c.-present,very high,archives; identity systems; publication design,Rich archival holdings; manual access route.,unknown,High,yes,No,Yes,Launch,Important for corporate identity/systems.,2026-05-29,,,,,,,,,
SRC015,Herb Lubalin Study Center,https://cooper.edu/art/herb-lubalin-study-center-design-and-typography,university design archive,manual + Flat File,https://cooper.edu/art/herb-lubalin-study-center-design-and-typography,unknown,unknown,unknown,U.S.,20th c.,very high,ephemera; archives; library resources,Preservation/research mission; link-only unless permission.,unknown,High,yes,No,Yes,Launch,Strong typography/editorial anchor.,2026-05-29,,,,,,,,,
SRC016,People's Graphic Design Archive,https://peoplesgdarchive.org/,crowdsourced design archive,search interface,https://peoplesgdarchive.org/,unknown,unknown,unknown,global/community,broad modern-contemporary,very high,uploads; links; oral histories; essays; images,Rights remain with rights holders.,mixed,Medium,yes,No,Yes,Launch,Inclusive/community source; manual review.,2026-05-29,,,,,,,,,
SRC017,Interference Archive,https://interferencearchive.org/,community archive,digital catalog + manual,https://interferencearchive.org/,unknown,unknown,unknown,U.S.; global movements,social movement cultural production,very high for protest graphics,posters; flyers; zines; books; buttons; AV,Rights and sensitivity review required.,mixed,Medium,yes,No,Yes,Launch,Counterpublic/protest anchor.,2026-05-29,,,,,,,,,
