assessment_id	node_a	node_b	calibration_stratum	hard_negative	period_band	source_family	design_history_domain	primary_generic_type	secondary_generic_type	historical_scope	context_scope	d1	d2	d3	d4	d5	d6	d7	cooccurrence_only	qualification_required	evidence_refs	association_strength	evidence_confidence	evidence_status	qualification	decision_reason	method_version
R14-ASSOC-001	professionalization	institutionalization	CLEAR_POSITIVE	false	1870–2021	interior-design history;graphic-design professions	professional history	INSTITUTIONAL_PROFESSIONAL		Western interior design 1870–1970 and university visual-identity practice	Named education, association, accreditation, occupational-trust, and university mechanisms	2	2	1	2	2	2	2	false	false	R14-EVID-001-01;R14-EVID-001-02	STRONG	HIGH	EXTERNALLY_SUPPORTED	Association is non-directional and scope-bounded; no universal professional sequence is claimed.	Two independent domain-aligned studies explicitly discuss the concepts together through named institutions.	trace-generic-association-rubric-v1
R14-ASSOC-002	production	mediation	CLEAR_POSITIVE	false	modern and digital design history	production-consumption mediation	design historiography	PRACTICE_PRODUCTION	CULTURAL_DISCURSIVE	Design-history accounts of production-consumption mediation	Designed channels and devices between production and consumption	2	2	1	2	1	2	2	false	false	R14-EVID-002-01;R14-EVID-002-02;R14-EVID-002-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	Mediation is contextual, not a causal arrow from production.	Independent design-history sources explicitly place mediating channels or devices in production contexts.	trace-generic-association-rubric-v1
R14-ASSOC-003	mediation	consumption	CLEAR_POSITIVE	false	modern and digital design history	production-consumption mediation	design historiography	PRACTICE_PRODUCTION	ECONOMIC_COMMERCIAL	Design-history accounts of production-consumption mediation	Meaning inscription and data relations involving consumption	2	2	1	2	1	2	2	false	false	R14-EVID-003-01;R14-EVID-003-02;R14-EVID-003-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	The association does not make consumers passive endpoints.	Independent sources explicitly locate designed mediation within consumption and reception.	trace-generic-association-rubric-v1
R14-ASSOC-004	production	consumption	CLEAR_POSITIVE	false	modern and digital design history	production-consumption mediation	design historiography	PRACTICE_PRODUCTION	ECONOMIC_COMMERCIAL	Production-consumption mediation in design history	The PCM model and digital extension explicitly retain both poles	2	2	1	2	1	2	2	false	false	R14-EVID-004-01;R14-EVID-004-02;R14-EVID-004-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	Spatial association does not assert a single linear market mechanism.	The sources explicitly frame designed channels and devices between production and consumption.	trace-generic-association-rubric-v1
R14-ASSOC-005	exhibition	design diplomacy	CLEAR_POSITIVE	false	1930–1979	international exhibitions	design diplomacy	CIRCULATION_EXCHANGE	CULTURAL_DISCURSIVE	Swedish, Polish, Soviet, and US-linked exposition histories	Designed exhibition media used in international negotiation and representation	2	2	2	2	2	2	2	false	false	R14-EVID-005-01;R14-EVID-005-02;R14-EVID-005-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	Diplomatic intention does not guarantee audience reception or political effect.	Three independent histories directly analyze exhibitions as sites of design diplomacy.	trace-generic-association-rubric-v1
R14-ASSOC-006	design diplomacy	propaganda	CLEAR_POSITIVE	false	1930–1979	international exhibitions	design diplomacy	CULTURAL_DISCURSIVE	CIRCULATION_EXCHANGE	State-sponsored international display	Persuasion, propaganda, negotiation, and goodwill in exposition practice	2	2	2	2	2	2	2	false	false	R14-EVID-006-01;R14-EVID-006-02;R14-EVID-006-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	The sources distinguish diplomacy from propaganda rather than equating them.	The exhibition studies explicitly compare or combine diplomatic and propagandistic functions.	trace-generic-association-rubric-v1
R14-ASSOC-007	propaganda	trade	CLEAR_POSITIVE	false	1930s	Swedish exposition history	exhibition history	ECONOMIC_COMMERCIAL	CULTURAL_DISCURSIVE	Swedish national representation at an international exposition	Designed display combining propaganda, goodwill, and trade	2	1	0	2	2	1	2	false	false	R14-EVID-007-01	STRONG	MODERATE	EXTERNALLY_SUPPORTED	One bounded exposition case; no general identity between propaganda and trade.	One domain-aligned historical study explicitly treats propaganda and trade within the same designed display program.	trace-generic-association-rubric-v1
R14-ASSOC-008	exhibition	propaganda	CLEAR_POSITIVE	false	1930–1979	international exhibitions	exhibition history	CULTURAL_DISCURSIVE	CIRCULATION_EXCHANGE	State-sponsored international exhibitions	Designed exposition used for persuasion, national representation, and propaganda	2	2	1	2	2	2	2	false	false	R14-EVID-008-01;R14-EVID-008-02	STRONG	HIGH	EXTERNALLY_SUPPORTED	The assessment remains case-bounded and does not classify every exhibition as propaganda.	Independent exposition histories directly discuss propagandistic functions of designed exhibitions.	trace-generic-association-rubric-v1
R14-ASSOC-009	design diplomacy	trade	CLEAR_POSITIVE	false	1930s	Swedish exposition history	design diplomacy	ECONOMIC_COMMERCIAL	CIRCULATION_EXCHANGE	Swedish international exposition practice	Diplomatic representation, goodwill, and trade through designed display	2	1	0	2	2	1	2	false	false	R14-EVID-009-01	STRONG	MODERATE	EXTERNALLY_SUPPORTED	Single-case source support; diplomatic outcome is not asserted.	A design-history exposition case directly joins diplomatic representation and trade.	trace-generic-association-rubric-v1
R14-ASSOC-010	material displacement	supply chain	CLEAR_POSITIVE	false	modern design and landscape history	material histories	material design history	MATERIAL_TECHNOLOGICAL	CIRCULATION_EXCHANGE	Movement of designed materials between production and receiving sites	Material chains with labor and ecological consequences	2	2	1	2	2	2	2	false	false	R14-EVID-010-01;R14-EVID-010-02	STRONG	HIGH	EXTERNALLY_SUPPORTED	The association does not reduce all material movement to one supply-chain model.	Two design-history sources explicitly treat material movement through sites and chains.	trace-generic-association-rubric-v1
R14-ASSOC-011	supply chain	production site	BORDERLINE	false	modern landscape-material history	material chains	material design history	MATERIAL_TECHNOLOGICAL	PRACTICE_PRODUCTION	Landscape material chains	Named production sites, destinations, labor, and ecological effects	2	1	0	2	2	1	2	false	false	R14-EVID-011-01	STRONG	MODERATE	EXTERNALLY_SUPPORTED	One bounded study and source family; confidence is moderate.	The study explicitly describes production sites as part of the material chain.	trace-generic-association-rubric-v1
R14-ASSOC-012	material displacement	production site	BORDERLINE	false	modern landscape-material history	material chains	material design history	MATERIAL_TECHNOLOGICAL	PRACTICE_PRODUCTION	Movement of landscape materials	Production site and designed destination linked by a material chain	1	1	0	2	2	1	2	false	false	R14-EVID-012-01	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	Association is inferred within the source's explicit chain, not elevated to a universal relation.	The bounded source-level account supplies a contextual bridge between displacement and production site.	trace-generic-association-rubric-v1
R14-ASSOC-013	cultural negotiation	adaptation	BORDERLINE	false	colonial and postcolonial architectural contexts	contact zones;Javanese adaptation	architectural design history	CULTURAL_DISCURSIVE	CIRCULATION_EXCHANGE	Architectural contact zones and Javanese design	Selective borrowing, adaptation, rejection, and symbolic resistance	2	2	1	2	2	2	2	false	false	R14-EVID-013-01;R14-EVID-013-02	STRONG	HIGH	EXTERNALLY_SUPPORTED	Adaptation is situated agency, not passive transfer.	Two studies explicitly place adaptation within negotiated contact and resistance.	trace-generic-association-rubric-v1
R14-ASSOC-014	adaptation	rejection	BORDERLINE	false	colonial and postcolonial architectural contexts	contact zones;Javanese adaptation	architectural design history	CULTURAL_DISCURSIVE		Architectural contact zones	Selective borrowing, adaptation, or rejection	2	1	0	2	2	1	2	false	false	R14-EVID-014-01	STRONG	MODERATE	EXTERNALLY_SUPPORTED	Alternatives within one contact-zone model, not successive stages.	A domain-aligned study explicitly presents adaptation and rejection as situated responses.	trace-generic-association-rubric-v1
R14-ASSOC-015	cultural negotiation	rejection	BORDERLINE	false	colonial and postcolonial architectural contexts	contact zones	architectural design history	CULTURAL_DISCURSIVE		Architectural contact zones	Negotiation through borrowing, adaptation, or rejection	1	1	0	2	2	1	2	false	false	R14-EVID-015-01	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	One conceptual source; no claim that rejection always constitutes negotiation.	The source explicitly situates rejection within a negotiated contact-zone repertoire.	trace-generic-association-rubric-v1
R14-ASSOC-016	gendering	commodification	BORDERLINE	false	1867; qualified contemporary extension	Brazilian exposition;second-hand markets	design and consumption history	SOCIAL_IDENTITY	ECONOMIC_COMMERCIAL	Paris 1867 Brazilian display with a qualified consumption-history comparison	Parallel classification of tropical nature/raw material and gendered consumer/trader positions	2	2	1	2	2	1	2	false	false	R14-EVID-016-01;R14-EVID-016-02	STRONG	MODERATE	EXTERNALLY_SUPPORTED	The generic association is case-bounded; it does not assert that either process causes the other.	A design-history article explicitly treats both processes in one exposition; the second source broadens but does not universalize the association.	trace-generic-association-rubric-v1
R14-ASSOC-017	imitation	piracy	BORDERLINE	false	twentieth- and twenty-first-century fashion/design regimes	fashion business;IP law;consumer research	design and legal history	PRACTICE_PRODUCTION	ECONOMIC_COMMERCIAL	Fashion and product-design copying regimes	Source-bounded classifications distinguish accommodated imitation from piracy	2	2	2	2	2	2	2	false	false	R14-EVID-017-01;R14-EVID-017-02;R14-EVID-017-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	Authorization and rights regimes condition the classification; imitation is not automatically piracy.	Three independent sources explicitly analyze the concepts together while preserving their distinction.	trace-generic-association-rubric-v1
R14-ASSOC-018	photography	typography	BORDERLINE	false	1930s modern graphic design	MoMA exhibition archive	graphic design museum history	MATERIAL_TECHNOLOGICAL	PRACTICE_PRODUCTION	Herbert Matter's modern graphic-design practice	Institutional record of photographic/typographic synthesis	2	1	0	2	2	1	1	false	false	R14-EVID-018-01	STRONG	MODERATE	SOURCE_SUPPORTED	Supported by archive/source evidence. Independent scholarly validation pending.	The museum exhibition record explicitly describes a synthesis of photography and typography.	trace-generic-association-rubric-v1
